no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0,0,1,1,1,1,1,63,1,-1
1,0,0,1,1,0,1,156,4,-1
0,0,1,0,1,0,1,45,2,-1
0,0,1,0,0,0,0,76,8,-1
1,1,1,0,1,1,1,47,7,-1
1,0,1,0,0,0,1,181,3,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,135.0,9.0,5529.93
0,0,0,1,1,1,1,216,4,-1
1,0,0,1,0,0,0,208,2,-1
1,1,0,1,0,1,1,176,9,-1
1,1,0,0,0,1,1,146,8,-1
0,1,1,1,1,1,0,236,4,-1
0,1,1,1,1,1,0,113,3,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,208.0,9.0,3663.12
0,1,0,1,1,1,1,167,6,-1
0,1,0,1,0,0,1,170,5,-1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,2.0,5497.76
1,1,0,1,0,1,0,171,1,-1
1,1,1,0,0,1,0,99,8,-1
1,1,0,0,1,0,0,214,2,-1
1,0,0,1,0,0,0,116,7,-1
1,1,0,0,1,0,0,75,3,-1
1,1,0,1,1,1,0,119,5,-1
0,0,1,1,1,1,0,121,3,-1
0,1,1,1,1,1,0,137,4,-1
0,0,1,0,0,0,1,219,1,-1
1,1,0,0,0,1,1,73,6,-1
1,1,0,0,0,1,1,196,2,-1
0,1,0,0,0,1,0,44,7,-1
0,1,0,0,1,0,1,184,7,-1
1,1,1,0,1,0,0,118,3,-1
1,1,1,1,1,0,0,80,3,-1
1,0,1,0,0,0,0,139,5,-1
0,1,1,1,1,0,1,139,1,-1
1,0,1,0,1,0,1,50,8,-1
0,0,0,0,0,0,1,220,4,-1
1,1,0,0,1,1,0,79,5,-1
1,0,1,1,1,1,1,114,9,-1
0,0,1,1,0,0,1,119,8,-1
0,1,0,0,1,1,1,143,1,-1
1,1,0,0,1,1,1,46,3,-1
1,1,0,1,1,0,1,102,3,-1
0,1,0,1,1,0,0,243,5,-1
1,1,1,1,1,0,1,202,2,-1
1,1,0,0,1,0,0,212,5,-1
1,1,1,1,1,0,1,247,9,-1
1,1,0,0,1,1,1,66,3,-1
1,1,1,1,1,0,1,185,4,-1
1,1,1,0,1,1,1,157,4,-1
1,1,0,1,1,1,1,191,9,-1
1,0,1,1,1,0,0,52,7,-1
1,1,1,0,0,0,0,175,7,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,88.0,4.0,3678.82
1,1,1,1,1,1,1,84,4,-1
0,1,0,1,1,0,0,162,9,-1
1,1,0,0,0,1,0,191,2,-1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,223.0,9.0,3626.47
0,0,0,1,0,1,0,62,4,-1
1,1,0,0,0,1,1,57,3,-1
1,0,0,1,0,1,0,74,7,-1
0,1,1,0,0,1,0,224,4,-1
0,0,0,0,1,0,1,63,6,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,1.0,3804.32
1,1,1,1,1,1,1,71,2,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,187.0,8.0,5464.44
1,1,0,1,1,1,0,44,7,-1
0,0,0,0,0,0,0,168,6,-1
1,0,0,1,0,0,0,52,1,-1
0,0,0,1,0,1,1,182,9,-1
0,0,0,1,0,1,1,144,1,-1
0,1,1,0,0,0,1,60,7,-1
1,1,0,0,1,0,1,220,4,-1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,196.0,1.0,3833.98
1,0,0,1,1,1,1,92,3,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,185.0,2.0,5567.87
0,1,0,0,0,1,0,49,3,-1
1,0,1,1,0,1,0,174,1,-1
1,0,1,1,0,0,0,126,3,-1
0,0,0,1,0,1,1,83,9,-1
0,1,1,1,0,0,0,243,3,-1
0,1,0,0,0,0,1,132,7,-1
1,1,0,1,0,1,0,166,8,-1
0,1,0,1,0,1,0,102,7,-1
0,1,1,1,0,0,0,225,6,-1
1,1,1,1,0,1,0,202,6,-1
0,1,0,0,1,0,0,153,7,-1
0,1,0,1,1,0,1,170,2,-1
1,0,1,0,1,0,1,152,7,-1
0,1,1,1,1,0,1,232,8,-1
1,1,1,1,1,0,1,84,2,-1
1,1,1,1,1,1,1,147,6,-1
1,1,0,0,1,0,0,50,2,-1
0,0,1,0,1,0,0,40,5,-1
1,1,1,1,1,0,1,250,2,-1
1,0,0,0,0,0,1,80,8,-1
0,1,0,1,1,0,1,237,8,-1
0,0,0,1,1,0,0,206,9,-1
1,1,1,1,1,1,1,179,4,-1
1,0,0,1,0,1,1,95,9,-1
0,0,0,1,1,1,0,156,5,-1
1,1,1,1,1,0,0,197,6,-1
1,1,0,1,0,0,0,206,7,-1
0,1,1,1,1,1,0,152,3,-1
0,1,1,0,1,0,1,64,5,-1
0,1,0,1,0,1,0,67,5,-1
0,1,0,1,1,1,1,163,1,-1
0,1,1,0,0,1,1,143,9,-1
0,0,0,1,1,0,1,242,2,-1
1,1,1,1,0,1,1,57,4,-1
0,1,1,1,0,0,1,46,9,-1
0,1,0,0,1,0,1,188,9,-1
1,0,1,1,1,1,1,93,6,-1
1,1,1,0,1,1,1,148,5,-1
1,1,1,0,1,1,0,69,5,-1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,3.0,3708.32
0.0,0.0,0.0,0.0,1.0,1.0,0.0,175.0,8.0,5396.24
0,1,1,1,1,1,1,68,6,-1
1,1,1,1,1,0,0,168,7,-1
1,0,1,0,1,0,1,80,8,-1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,89.0,4.0,3655.85
1,1,0,1,1,1,0,210,3,-1
0,0,1,1,1,0,0,172,5,-1
1,1,0,1,0,0,0,53,4,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,213.0,8.0,5461.88
1,1,0,1,0,1,0,68,9,-1
1,0,1,1,0,0,0,65,6,-1
0,1,0,0,0,1,0,55,5,-1
0,1,0,1,1,1,1,199,3,-1
0,1,0,1,0,0,0,58,7,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,3.0,5557.23
0,1,0,1,0,1,1,209,6,-1
1,1,0,0,0,1,0,175,9,-1
0,1,1,1,0,0,1,179,1,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0,4.0,5410.3
0,1,0,0,1,0,0,193,9,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,200.0,6.0,5540.58
1,1,0,1,1,1,0,171,9,-1
0,1,0,0,0,1,0,86,3,-1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,158.0,3.0,5481.99
0.0,0.0,0.0,0.0,0.0,1.0,1.0,197.0,7.0,3625.69
0,0,1,0,0,0,0,171,5,-1
0,1,1,0,1,0,1,56,6,-1
0,1,1,1,1,0,0,144,8,-1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,160.0,4.0,3631.7
1,1,1,0,0,0,0,177,4,-1
0,1,1,1,0,0,0,132,8,-1
