maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,61.0,10.0,21745.0,50.0,383.0,58.0,45.0,1174.7336
1.0,14.0,5726.0,13952.0,31185.0,29.0,7.0,43422.0,45.0,248.0,347.0,41.0,1065.1923
191.0,50.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1181.607
127.0,42.0,5388.0,38000.0,7927.0,1.0,1.0,16248.0,44.0,288.0,467.0,31.0,1025.3401
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,5726.0,13952.0,34412.0,29.0,7.0,43422.0,45.0,248.0,253.0,49.0,1139.7869
191.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1156.1075
127.0,42.0,2059.0,38000.0,7927.0,1.0,1.0,29445.0,44.0,173.0,467.0,31.0,1047.1244
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,7068.0,13952.0,34412.0,29.0,7.0,43422.0,45.0,248.0,253.0,49.0,1119.4878
280.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1155.2594
127.0,50.0,2059.0,38000.0,7927.0,1.0,1.0,29445.0,44.0,173.0,467.0,31.0,1045.5651
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,6337.0,13952.0,34412.0,29.0,7.0,43422.0,45.0,248.0,253.0,49.0,1134.3851
280.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1155.2594
127.0,50.0,2059.0,38000.0,18587.0,1.0,1.0,29445.0,44.0,173.0,467.0,31.0,1052.988
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,6337.0,0.0,34412.0,29.0,7.0,43422.0,45.0,248.0,253.0,49.0,1134.3851
280.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1155.2594
127.0,50.0,763.0,38000.0,18587.0,1.0,1.0,29445.0,44.0,415.0,467.0,31.0,1122.7446
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,6337.0,0.0,50000.0,29.0,7.0,43422.0,45.0,248.0,18.0,49.0,1175.1438
280.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1155.2594
