maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
53.0,4.0,319.0,3247.0,506.0,6.0,1.0,3361.0,13.0,33.0,1.0,7.0,1259.766845703125
53.0,4.0,233.0,3202.0,1253.0,8.0,1.0,2635.0,9.0,33.0,1.0,8.0,1256.1787109375
56.0,3.0,498.0,3166.0,252.0,7.0,1.0,2594.0,9.0,35.0,1.0,7.0,1254.5467529296875
53.0,3.0,228.0,3146.0,1125.0,11.0,1.0,3139.0,9.0,34.0,1.0,7.0,1260.6038818359375
48.0,4.0,326.0,3261.0,330.0,5.0,1.0,2988.0,13.0,33.0,1.0,7.0,1258.420654296875
50.0,3.0,204.0,3202.0,821.0,10.0,1.0,3910.0,12.0,34.0,1.0,7.0,1264.089111328125
56.0,3.0,292.0,3151.0,687.0,8.0,1.0,3104.0,9.0,34.0,1.0,7.0,1257.5596923828125
49.0,3.0,232.0,3168.0,477.0,7.0,1.0,3507.0,12.0,34.0,1.0,7.0,1260.798095703125
52.0,3.0,227.0,3114.0,1.0,5.0,1.0,3634.0,12.0,34.0,1.0,7.0,1259.2576904296875
54.0,3.0,201.0,3196.0,1521.0,13.0,1.0,3501.0,10.0,34.0,1.0,7.0,1264.0341796875
55.0,4.0,452.0,4150.0,4244.0,3.0,1.0,5863.0,22.0,37.0,21.0,20.0,1258.444091796875
26.0,3.0,275.0,4301.0,5182.0,14.0,1.0,6390.0,15.0,37.0,22.0,12.0,1263.575439453125
42.0,4.0,572.0,4046.0,5896.0,1.0,1.0,5873.0,19.0,37.0,13.0,19.0,1255.1749267578125
73.0,5.0,461.0,4022.0,3151.0,1.0,1.0,6871.0,27.0,35.0,1.0,28.0,1265.6060791015625
96.0,5.0,606.0,4031.0,2810.0,1.0,1.0,5980.0,32.0,36.0,15.0,31.0,1266.5618896484375
79.0,4.0,375.0,4222.0,2646.0,2.0,1.0,6583.0,28.0,36.0,18.0,25.0,1263.9443359375
79.0,5.0,348.0,4137.0,2163.0,1.0,1.0,7028.0,28.0,35.0,6.0,27.0,1265.918212890625
52.0,4.0,283.0,4252.0,3555.0,9.0,1.0,6693.0,21.0,36.0,16.0,19.0,1262.8255615234375
71.0,4.0,803.0,4038.0,5550.0,1.0,1.0,4327.0,26.0,38.0,33.0,24.0,1256.1136474609375
74.0,4.0,553.0,4121.0,3892.0,1.0,1.0,5886.0,27.0,37.0,19.0,25.0,1261.7305908203125
81.0,4.0,704.0,4016.0,1525.0,5.0,1.0,1700.0,16.0,37.0,1.0,2.0,1261.34423828125
93.0,4.0,386.0,4327.0,2253.0,1.0,1.0,1508.0,12.0,36.0,1.0,2.0,1255.55859375
70.0,4.0,795.0,3731.0,993.0,9.0,1.0,1581.0,15.0,37.0,1.0,2.0,1262.952880859375
90.0,5.0,591.0,4298.0,2086.0,4.0,1.0,1193.0,14.0,36.0,1.0,2.0,1257.870361328125
78.0,5.0,707.0,4186.0,1664.0,8.0,1.0,938.0,14.0,37.0,1.0,3.0,1259.13134765625
80.0,4.0,570.0,3998.0,1615.0,4.0,1.0,1764.0,14.0,37.0,1.0,2.0,1259.20166015625
81.0,5.0,568.0,4139.0,1765.0,5.0,1.0,1441.0,13.0,36.0,1.0,2.0,1258.03369140625
82.0,4.0,600.0,3966.0,1562.0,8.0,1.0,984.0,11.0,36.0,1.0,3.0,1257.67431640625
73.0,5.0,660.0,3950.0,1371.0,8.0,1.0,1305.0,13.0,37.0,1.0,3.0,1258.673828125
87.0,4.0,573.0,4050.0,1715.0,4.0,1.0,1447.0,13.0,36.0,1.0,2.0,1258.0206298828125
60.0,3.0,846.0,3132.0,921.0,20.0,2.0,4180.0,8.0,34.0,12.0,2.0,1265.8634033203125
58.0,2.0,902.0,3207.0,1669.0,20.0,1.0,4974.0,10.0,35.0,1.0,3.0,1270.0274658203125
68.0,2.0,858.0,3224.0,1120.0,20.0,1.0,4226.0,11.0,34.0,8.0,3.0,1269.329833984375
42.0,2.0,924.0,3092.0,2224.0,22.0,2.0,5263.0,7.0,35.0,8.0,2.0,1269.423828125
45.0,3.0,909.0,3066.0,1510.0,16.0,2.0,5279.0,7.0,35.0,13.0,2.0,1261.572265625
30.0,3.0,862.0,2924.0,2056.0,25.0,2.0,4770.0,3.0,35.0,8.0,1.0,1267.874755859375
54.0,2.0,895.0,3201.0,2254.0,22.0,1.0,5161.0,10.0,35.0,1.0,3.0,1271.0357666015625
34.0,2.0,993.0,3095.0,2799.0,17.0,1.0,6534.0,7.0,36.0,3.0,2.0,1267.5322265625
46.0,2.0,929.0,3130.0,2257.0,20.0,1.0,5452.0,8.0,35.0,5.0,2.0,1269.5469970703125
53.0,3.0,890.0,3126.0,1544.0,20.0,1.0,4702.0,8.0,34.0,13.0,2.0,1266.0048828125
440.0,26.0,671.0,4691.0,1627.0,1.0,6.0,42630.0,7.0,33.0,1.0,5.0,-1.0
432.0,26.0,1142.0,4933.0,315.0,1.0,6.0,44564.0,8.0,34.0,1.0,6.0,-1.0
435.0,26.0,766.0,4738.0,1348.0,1.0,6.0,42765.0,7.0,33.0,1.0,5.0,-1.0
419.0,25.0,1102.0,4899.0,360.0,1.0,6.0,43290.0,8.0,34.0,1.0,6.0,-1.0
446.0,26.0,668.0,4702.0,1718.0,1.0,6.0,43081.0,7.0,33.0,1.0,4.0,-1.0
454.0,26.0,494.0,4638.0,2134.0,1.0,6.0,42907.0,7.0,32.0,1.0,4.0,-1.0
450.0,25.0,263.0,4487.0,2912.0,1.0,6.0,41163.0,7.0,32.0,1.0,3.0,-1.0
448.0,26.0,495.0,4608.0,2058.0,1.0,6.0,42407.0,7.0,32.0,1.0,4.0,-1.0
467.0,27.0,717.0,4794.0,1799.0,1.0,6.0,44759.0,7.0,33.0,1.0,4.0,-1.0
432.0,25.0,793.0,4735.0,1398.0,1.0,6.0,42460.0,7.0,33.0,1.0,5.0,-1.0
121.0,8.0,523.0,3631.0,1817.0,8.0,2.0,10266.0,8.0,39.0,7.0,2.0,-1.0
197.0,12.0,536.0,3826.0,1902.0,8.0,3.0,17124.0,8.0,38.0,7.0,3.0,-1.0
135.0,8.0,519.0,3687.0,1710.0,8.0,2.0,11557.0,8.0,38.0,6.0,3.0,-1.0
161.0,10.0,529.0,3777.0,1796.0,8.0,2.0,13912.0,8.0,39.0,7.0,3.0,-1.0
200.0,12.0,547.0,3642.0,1928.0,8.0,3.0,17338.0,9.0,38.0,7.0,2.0,-1.0
244.0,15.0,538.0,3785.0,1967.0,8.0,3.0,21311.0,9.0,37.0,7.0,2.0,-1.0
243.0,15.0,534.0,3857.0,2074.0,8.0,3.0,21265.0,9.0,37.0,7.0,2.0,-1.0
171.0,11.0,496.0,4011.0,1735.0,8.0,2.0,14872.0,8.0,37.0,6.0,3.0,-1.0
196.0,12.0,539.0,3688.0,1934.0,8.0,3.0,16984.0,9.0,38.0,7.0,2.0,-1.0
215.0,13.0,533.0,3788.0,1925.0,8.0,3.0,18737.0,9.0,38.0,7.0,2.0,-1.0
208.0,11.0,883.0,4775.0,1.0,1.0,3.0,16094.0,7.0,37.0,1.0,1.0,-1.0
210.0,13.0,829.0,4318.0,1.0,5.0,3.0,18283.0,8.0,36.0,1.0,1.0,-1.0
303.0,20.0,668.0,4024.0,1.0,15.0,5.0,32318.0,6.0,40.0,1.0,1.0,-1.0
159.0,10.0,984.0,4496.0,1.0,10.0,3.0,14708.0,8.0,37.0,1.0,1.0,-1.0
209.0,14.0,857.0,4234.0,1.0,12.0,3.0,20844.0,7.0,37.0,1.0,1.0,-1.0
256.0,15.0,751.0,4399.0,1.0,3.0,4.0,22734.0,7.0,37.0,1.0,1.0,-1.0
220.0,14.0,831.0,4309.0,1.0,8.0,3.0,20517.0,7.0,37.0,1.0,1.0,-1.0
269.0,18.0,741.0,4110.0,1.0,15.0,4.0,28620.0,6.0,39.0,1.0,1.0,-1.0
177.0,12.0,919.0,4227.0,1.0,13.0,3.0,17802.0,8.0,37.0,1.0,1.0,-1.0
265.0,17.0,746.0,4297.0,1.0,9.0,4.0,25818.0,7.0,38.0,1.0,1.0,-1.0
255.0,14.0,923.0,3465.0,3152.0,7.0,3.0,22352.0,4.0,34.0,51.0,2.0,-1.0
180.0,9.0,740.0,3781.0,3981.0,1.0,2.0,14238.0,5.0,34.0,25.0,2.0,-1.0
251.0,11.0,930.0,3442.0,3664.0,10.0,3.0,20293.0,6.0,34.0,28.0,4.0,-1.0
209.0,12.0,816.0,3640.0,3576.0,1.0,2.0,18050.0,4.0,34.0,46.0,2.0,-1.0
277.0,16.0,872.0,3997.0,2283.0,1.0,4.0,26637.0,6.0,34.0,31.0,1.0,-1.0
227.0,13.0,816.0,3805.0,3227.0,1.0,3.0,20745.0,5.0,34.0,39.0,2.0,-1.0
217.0,12.0,811.0,3740.0,3621.0,2.0,3.0,18795.0,5.0,34.0,33.0,2.0,-1.0
281.0,16.0,937.0,3921.0,2398.0,1.0,4.0,26262.0,6.0,33.0,26.0,2.0,-1.0
223.0,13.0,829.0,3679.0,3571.0,4.0,3.0,19717.0,5.0,34.0,41.0,2.0,-1.0
255.0,13.0,931.0,3563.0,3064.0,3.0,3.0,21552.0,5.0,34.0,35.0,3.0,-1.0
259.0,13.0,191.0,3763.0,6113.0,1.0,3.0,22173.0,4.0,37.0,1.0,4.0,-1.0
166.0,9.0,262.0,3976.0,6551.0,1.0,2.0,15068.0,4.0,35.0,5.0,2.0,-1.0
251.0,13.0,217.0,4003.0,6522.0,1.0,3.0,21984.0,3.0,36.0,7.0,4.0,-1.0
208.0,10.0,178.0,3588.0,6049.0,1.0,3.0,17556.0,4.0,38.0,1.0,4.0,-1.0
294.0,15.0,220.0,4017.0,6458.0,1.0,4.0,25791.0,3.0,36.0,4.0,4.0,-1.0
194.0,10.0,172.0,3763.0,6257.0,1.0,3.0,16864.0,4.0,37.0,1.0,3.0,-1.0
177.0,12.0,81.0,4173.0,7486.0,1.0,2.0,16014.0,2.0,36.0,36.0,4.0,-1.0
220.0,10.0,192.0,3643.0,5973.0,1.0,3.0,18768.0,4.0,37.0,1.0,4.0,-1.0
243.0,13.0,263.0,4000.0,6377.0,1.0,3.0,21460.0,4.0,35.0,1.0,3.0,-1.0
244.0,13.0,217.0,4000.0,6533.0,1.0,3.0,21505.0,3.0,36.0,6.0,4.0,-1.0
123.0,8.0,901.0,4338.0,124.0,9.0,3.0,13590.0,8.0,33.0,1.0,1.0,-1.0
242.0,13.0,1020.0,4421.0,848.0,10.0,4.0,21415.0,6.0,32.0,3.0,1.0,-1.0
159.0,9.0,902.0,4235.0,574.0,11.0,3.0,15011.0,7.0,32.0,7.0,1.0,-1.0
154.0,9.0,1025.0,4371.0,766.0,9.0,3.0,16686.0,8.0,33.0,1.0,1.0,-1.0
186.0,11.0,1022.0,4268.0,186.0,9.0,3.0,17311.0,7.0,32.0,6.0,1.0,-1.0
230.0,12.0,952.0,4444.0,1335.0,11.0,4.0,20585.0,5.0,33.0,1.0,1.0,-1.0
200.0,10.0,860.0,4389.0,963.0,11.0,3.0,17753.0,5.0,33.0,4.0,1.0,-1.0
184.0,9.0,776.0,4501.0,1857.0,12.0,3.0,17355.0,5.0,34.0,1.0,1.0,-1.0
188.0,10.0,884.0,4427.0,223.0,10.0,3.0,17339.0,6.0,32.0,1.0,1.0,-1.0
222.0,12.0,984.0,4321.0,413.0,10.0,4.0,19316.0,6.0,32.0,9.0,1.0,-1.0
245.0,16.0,604.0,3741.0,527.0,10.0,3.0,29180.0,4.0,36.0,1.0,3.0,-1.0
240.0,16.0,623.0,3779.0,212.0,11.0,3.0,29115.0,4.0,36.0,1.0,3.0,-1.0
146.0,11.0,891.0,4518.0,1.0,17.0,3.0,18897.0,6.0,33.0,5.0,1.0,-1.0
286.0,18.0,509.0,3457.0,1024.0,7.0,4.0,33446.0,3.0,37.0,1.0,5.0,-1.0
216.0,15.0,692.0,3971.0,1.0,12.0,3.0,26271.0,5.0,35.0,1.0,2.0,-1.0
246.0,16.0,611.0,3776.0,379.0,10.0,3.0,29200.0,4.0,36.0,1.0,3.0,-1.0
220.0,15.0,672.0,3951.0,14.0,12.0,3.0,26633.0,5.0,35.0,1.0,3.0,-1.0
264.0,17.0,556.0,3625.0,685.0,9.0,4.0,31199.0,4.0,36.0,1.0,4.0,-1.0
289.0,18.0,485.0,3440.0,1072.0,7.0,4.0,33695.0,3.0,37.0,1.0,5.0,-1.0
227.0,15.0,656.0,3902.0,66.0,11.0,3.0,27434.0,5.0,35.0,1.0,3.0,-1.0
481.0,23.0,0.0,3708.0,748.0,6.0,5.0,35407.0,6.0,39.0,1.0,1.0,-1.0
468.0,23.0,0.0,3898.0,344.0,2.0,5.0,34879.0,6.0,40.0,1.0,1.0,-1.0
484.0,23.0,0.0,3748.0,460.0,4.0,5.0,35286.0,6.0,39.0,1.0,1.0,-1.0
475.0,23.0,0.0,3677.0,649.0,5.0,5.0,34619.0,6.0,39.0,1.0,1.0,-1.0
