maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
12,1,4506,814,7847,70,1,3089,38,91,29,45,1374.8
12,1,4556,779,7904,71,1,3132,38,92,29,46,1352.3
15,1,3850,1037,6915,59,2,2640,39,82,25,39,1295.3
8,1,5344,537,9120,86,1,3687,37,103,37,50,1277.6
27,1,534,1930,3149,4,1,2330,40,34,19,50,1265.8
13,1,4256,906,7502,66,1,2918,38,88,28,43,1253.4
26,1,532,2019,3095,3,1,2261,39,34,19,43,1249.4
17,10,3366,1199,6206,50,3,2294,40,75,21,33,1246.3
18,50,443,2124,1559,5,10,1934,21,15,18,1,1225
9,1,5241,562,8903,84,1,3604,37,102,36,50,1209.6
