maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
39.0,1.0,434.0,4577.0,10797.0,1.0,1.0,9639.0,24.0,30.0,35.0,1.0,1271.197998046875
40.0,1.0,442.0,4513.0,10877.0,1.0,1.0,9724.0,24.0,29.0,35.0,1.0,1271.425537109375
35.0,1.0,382.0,4832.0,10569.0,2.0,1.0,8968.0,23.0,27.0,34.0,1.0,1271.3564453125
39.0,1.0,434.0,4605.0,10844.0,1.0,1.0,9677.0,24.0,30.0,35.0,1.0,1271.22314453125
38.0,1.0,422.0,4647.0,10803.0,1.0,1.0,9640.0,24.0,29.0,35.0,1.0,1271.4154052734375
40.0,1.0,428.0,4647.0,10790.0,1.0,1.0,9639.0,24.0,29.0,35.0,1.0,1271.4010009765625
39.0,1.0,422.0,4615.0,10820.0,1.0,1.0,9692.0,24.0,29.0,35.0,1.0,1271.4498291015625
33.0,2.0,412.0,4171.0,4856.0,5.0,1.0,2657.0,4.0,43.0,39.0,2.0,1230.08349609375
34.0,2.0,397.0,4195.0,5272.0,5.0,1.0,2472.0,4.0,43.0,38.0,2.0,1230.3109130859375
33.0,2.0,403.0,4261.0,5063.0,5.0,1.0,2457.0,4.0,43.0,38.0,2.0,1230.2034912109375
34.0,2.0,402.0,4321.0,5140.0,5.0,1.0,2397.0,3.0,43.0,38.0,2.0,1227.16455078125
32.0,2.0,419.0,4312.0,4691.0,5.0,1.0,2611.0,4.0,43.0,39.0,2.0,1229.8956298828125
33.0,2.0,399.0,4187.0,5138.0,5.0,1.0,2468.0,4.0,43.0,38.0,2.0,1230.27734375
33.0,2.0,409.0,4608.0,4845.0,5.0,1.0,2359.0,3.0,43.0,37.0,2.0,1227.708251953125
35.0,2.0,376.0,4318.0,4647.0,4.0,1.0,2193.0,16.0,43.0,43.0,2.0,1251.130615234375
37.0,2.0,378.0,4241.0,5191.0,4.0,1.0,2504.0,18.0,44.0,42.0,2.0,1253.619384765625
36.0,2.0,381.0,4275.0,4879.0,4.0,1.0,2224.0,19.0,44.0,42.0,2.0,1254.380126953125
36.0,2.0,367.0,4390.0,5158.0,4.0,1.0,2585.0,16.0,45.0,42.0,2.0,1251.2386474609375
35.0,2.0,361.0,4491.0,4741.0,4.0,1.0,2098.0,15.0,43.0,42.0,2.0,1249.6602783203125
36.0,2.0,377.0,4384.0,4840.0,4.0,1.0,2469.0,17.0,44.0,42.0,2.0,1252.45458984375
36.0,2.0,375.0,4169.0,5128.0,4.0,1.0,2005.0,20.0,43.0,42.0,2.0,1255.6370849609375
41.0,2.0,380.0,4877.0,3390.0,3.0,1.0,1777.0,27.0,42.0,40.0,2.0,1263.4888916015625
41.0,2.0,380.0,4901.0,3506.0,4.0,1.0,1794.0,26.0,42.0,40.0,2.0,1262.8736572265625
40.0,2.0,380.0,4878.0,3457.0,3.0,1.0,1861.0,26.0,42.0,39.0,2.0,1262.6771240234375
41.0,2.0,379.0,4958.0,3329.0,6.0,1.0,1752.0,27.0,43.0,40.0,2.0,1264.57763671875
41.0,2.0,380.0,4895.0,3479.0,4.0,1.0,1815.0,26.0,42.0,39.0,2.0,1263.098388671875
41.0,2.0,380.0,4895.0,3392.0,4.0,1.0,1767.0,26.0,42.0,40.0,2.0,1262.841552734375
41.0,2.0,380.0,4902.0,3391.0,6.0,1.0,1744.0,27.0,42.0,40.0,2.0,1264.87158203125
33.0,2.0,432.0,4008.0,4669.0,4.0,1.0,1957.0,24.0,37.0,39.0,2.0,1262.2890625
33.0,2.0,428.0,3999.0,4726.0,4.0,1.0,2198.0,24.0,38.0,39.0,2.0,1262.289306640625
33.0,2.0,425.0,3830.0,4305.0,4.0,1.0,2230.0,26.0,38.0,39.0,2.0,1264.5574951171875
34.0,2.0,412.0,4165.0,4722.0,4.0,1.0,1993.0,24.0,38.0,37.0,2.0,1262.5418701171875
33.0,2.0,418.0,3893.0,4465.0,4.0,1.0,2481.0,25.0,39.0,38.0,2.0,1263.681396484375
33.0,2.0,409.0,3836.0,4486.0,4.0,1.0,2996.0,26.0,40.0,38.0,2.0,1265.143798828125
33.0,2.0,434.0,3874.0,4352.0,4.0,1.0,1854.0,25.0,37.0,40.0,2.0,1263.06201171875
45.0,2.0,443.0,3789.0,4162.0,4.0,1.0,937.0,1.0,36.0,42.0,2.0,1211.91796875
45.0,2.0,440.0,3817.0,4176.0,4.0,1.0,953.0,1.0,36.0,42.0,2.0,1212.07470703125
44.0,2.0,450.0,3759.0,4177.0,4.0,1.0,898.0,1.0,37.0,43.0,2.0,1209.4544677734375
47.0,2.0,333.0,4107.0,4107.0,4.0,1.0,779.0,1.0,32.0,34.0,2.0,1225.811279296875
45.0,2.0,432.0,3841.0,4174.0,4.0,1.0,966.0,1.0,36.0,41.0,2.0,1213.3563232421875
45.0,2.0,444.0,3765.0,4158.0,4.0,1.0,846.0,1.0,36.0,42.0,2.0,1211.470458984375
45.0,2.0,413.0,3906.0,4127.0,4.0,1.0,989.0,1.0,35.0,40.0,2.0,1216.079345703125
39.0,2.0,432.0,4096.0,3414.0,4.0,1.0,2336.0,2.0,39.0,39.0,2.0,1223.012451171875
39.0,2.0,437.0,4181.0,4139.0,4.0,1.0,2062.0,2.0,38.0,39.0,2.0,1222.7244873046875
39.0,2.0,428.0,4113.0,3891.0,4.0,1.0,1998.0,3.0,37.0,38.0,2.0,1228.940185546875
40.0,2.0,429.0,4162.0,3787.0,4.0,1.0,2159.0,2.0,38.0,39.0,2.0,1223.3406982421875
41.0,2.0,425.0,4330.0,4159.0,4.0,1.0,1853.0,2.0,38.0,39.0,2.0,1222.140869140625
41.0,2.0,418.0,4235.0,4151.0,4.0,1.0,2032.0,2.0,38.0,39.0,2.0,1223.080322265625
40.0,2.0,424.0,4155.0,3788.0,4.0,1.0,2113.0,2.0,38.0,38.0,2.0,1224.1856689453125
