maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
395.0,42.0,1580.0,5429.0,12677.0,190.0,4.0,35674.0,27.0,28.0,204.0,26.0,1308.2891
1.0,48.0,670.0,20653.0,8171.0,6.0,1.0,18408.0,19.0,201.0,167.0,35.0,1100.8636
146.0,41.0,1978.0,5009.0,24239.0,90.0,3.0,7887.0,16.0,372.0,106.0,9.0,1280.1315
43.0,48.0,5321.0,43177.0,22659.0,80.0,4.0,41165.0,17.0,439.0,395.0,29.0,1025.5874
60.0,43.0,951.0,6990.0,17401.0,175.0,9.0,40584.0,17.0,337.0,85.0,8.0,1210.5114
86.0,21.0,4346.0,9590.0,193.0,4.0,5.0,11008.0,11.0,246.0,120.0,44.0,1082.3976
29.0,38.0,6365.0,14502.0,12057.0,123.0,2.0,25478.0,40.0,210.0,236.0,46.0,1116.9534
405.0,33.0,545.0,6628.0,22988.0,157.0,9.0,12886.0,39.0,243.0,176.0,1.0,1188.0962
248.0,38.0,6068.0,38873.0,12822.0,182.0,10.0,25624.0,13.0,307.0,489.0,30.0,1025.9176
39.0,21.0,3166.0,1302.0,43463.0,125.0,3.0,16992.0,45.0,239.0,145.0,15.0,1170.7495
395.0,42.0,1580.0,5429.0,12677.0,190.0,4.0,35674.0,27.0,28.0,204.0,26.0,1308.2891
1.0,48.0,670.0,20653.0,8171.0,6.0,1.0,18408.0,19.0,201.0,167.0,35.0,1100.8636
146.0,41.0,1978.0,5009.0,24239.0,90.0,3.0,7887.0,16.0,372.0,106.0,9.0,1280.1315
43.0,48.0,5321.0,43177.0,22659.0,80.0,4.0,41165.0,17.0,439.0,395.0,29.0,1025.5874
60.0,43.0,951.0,6990.0,17401.0,175.0,9.0,40584.0,17.0,337.0,85.0,8.0,1210.5114
86.0,21.0,4346.0,9590.0,193.0,4.0,5.0,11008.0,11.0,246.0,120.0,44.0,1082.3976
29.0,38.0,6365.0,14502.0,12057.0,123.0,2.0,25478.0,40.0,210.0,236.0,46.0,1116.9534
405.0,33.0,545.0,6628.0,22988.0,157.0,9.0,12886.0,39.0,243.0,176.0,1.0,1188.0962
248.0,38.0,6068.0,38873.0,12822.0,182.0,10.0,25624.0,13.0,307.0,489.0,30.0,1025.9176
39.0,21.0,3166.0,1302.0,43463.0,125.0,3.0,16992.0,45.0,239.0,145.0,15.0,1170.7495
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,48.0,670.0,20654.0,8170.0,5.0,1.0,18407.0,19.0,201.0,168.0,36.0,1104.152
145.0,40.0,1978.0,5010.0,24239.0,90.0,4.0,7886.0,16.0,372.0,107.0,9.0,1278.8605
43.0,49.0,5321.0,43178.0,22658.0,116.0,4.0,45307.0,18.0,500.0,395.0,29.0,1050.6039
60.0,44.0,950.0,30222.0,17400.0,174.0,9.0,40584.0,17.0,336.0,85.0,9.0,1214.1606
86.0,21.0,4676.0,9590.0,192.0,3.0,8.0,11008.0,10.0,243.0,236.0,44.0,1056.0693
30.0,38.0,6365.0,14502.0,12058.0,122.0,2.0,25477.0,40.0,210.0,235.0,47.0,1118.1941
405.0,34.0,545.0,6628.0,22987.0,157.0,10.0,12886.0,39.0,242.0,177.0,1.0,1186.5004
249.0,38.0,6069.0,38872.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,31.0,1037.1798
1.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,16992.0,40.0,239.0,145.0,15.0,1166.6758
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,48.0,670.0,15985.0,1.0,5.0,1.0,18407.0,19.0,201.0,168.0,36.0,1118.403
145.0,40.0,1978.0,5010.0,24239.0,90.0,4.0,7886.0,16.0,372.0,107.0,9.0,1278.8605
205.0,39.0,8000.0,43178.0,22658.0,116.0,4.0,45307.0,39.0,500.0,395.0,29.0,1028.2521
60.0,44.0,950.0,50000.0,17400.0,174.0,9.0,40584.0,17.0,336.0,85.0,9.0,1217.8646
261.0,21.0,4676.0,9590.0,192.0,3.0,8.0,11008.0,10.0,243.0,236.0,30.0,1044.4958
30.0,38.0,6365.0,14502.0,4230.0,122.0,2.0,25477.0,26.0,210.0,53.0,47.0,1137.6223
405.0,41.0,545.0,6628.0,22987.0,157.0,10.0,12886.0,39.0,242.0,177.0,1.0,1196.0388
440.0,38.0,6069.0,50000.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,13.0,1119.9392
115.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,41296.0,40.0,239.0,145.0,15.0,1207.9442
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,48.0,670.0,15985.0,1.0,5.0,1.0,18407.0,4.0,201.0,168.0,15.0,1114.9404
145.0,40.0,1978.0,5010.0,24239.0,90.0,4.0,7886.0,16.0,372.0,107.0,9.0,1278.8605
205.0,17.0,6262.0,43178.0,22658.0,43.0,4.0,50000.0,21.0,450.0,395.0,29.0,1047.6077
60.0,44.0,950.0,50000.0,1.0,174.0,9.0,40584.0,17.0,336.0,85.0,9.0,1189.2925
261.0,21.0,4676.0,9590.0,192.0,3.0,8.0,11008.0,10.0,243.0,1.0,30.0,1120.6904
30.0,38.0,6365.0,32021.0,4230.0,122.0,2.0,2887.0,26.0,210.0,53.0,47.0,1145.5695
405.0,41.0,545.0,6628.0,22987.0,157.0,10.0,12886.0,39.0,242.0,177.0,1.0,1196.0388
440.0,38.0,6069.0,50000.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,13.0,1119.9392
115.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,41296.0,40.0,239.0,145.0,15.0,1207.9442
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,38.0,670.0,15985.0,1.0,5.0,1.0,18407.0,4.0,201.0,168.0,15.0,1043.7452
145.0,40.0,1978.0,5010.0,24239.0,90.0,4.0,7886.0,32.0,372.0,107.0,9.0,1255.24
205.0,17.0,6262.0,43178.0,45499.0,58.0,1.0,50000.0,21.0,500.0,395.0,29.0,1076.1742
60.0,44.0,950.0,50000.0,1.0,174.0,9.0,40584.0,17.0,336.0,85.0,9.0,1189.2925
335.0,21.0,4676.0,9590.0,192.0,3.0,8.0,11008.0,10.0,243.0,1.0,30.0,1121.2616
30.0,38.0,6365.0,32021.0,4230.0,122.0,2.0,2887.0,26.0,375.0,53.0,47.0,1173.905
405.0,41.0,545.0,6628.0,22987.0,157.0,10.0,12886.0,39.0,242.0,177.0,1.0,1196.0388
440.0,38.0,6069.0,50000.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,13.0,1119.9392
103.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,50000.0,40.0,239.0,145.0,15.0,1225.0911
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,37.0,670.0,15985.0,1.0,5.0,1.0,18407.0,4.0,182.0,168.0,15.0,1043.5266
145.0,40.0,1978.0,5010.0,24239.0,90.0,2.0,7886.0,32.0,372.0,107.0,9.0,1250.8599
205.0,17.0,6262.0,45663.0,45413.0,58.0,1.0,50000.0,21.0,500.0,395.0,29.0,1077.6847
60.0,44.0,950.0,50000.0,7706.0,174.0,10.0,40584.0,17.0,336.0,85.0,9.0,1200.9558
335.0,21.0,4676.0,9590.0,192.0,34.0,8.0,11008.0,10.0,391.0,1.0,30.0,1153.1721
30.0,19.0,6365.0,32021.0,4230.0,122.0,2.0,2887.0,26.0,375.0,53.0,31.0,1142.0392
405.0,41.0,545.0,6628.0,22987.0,192.0,10.0,12886.0,39.0,242.0,177.0,1.0,1223.8259
440.0,38.0,6069.0,50000.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,13.0,1119.9392
103.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,50000.0,40.0,239.0,145.0,15.0,1225.0911
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,37.0,670.0,15985.0,1.0,5.0,1.0,18407.0,15.0,182.0,168.0,3.0,1043.943
145.0,40.0,1978.0,5010.0,24239.0,90.0,2.0,7886.0,32.0,372.0,107.0,9.0,1250.8599
404.0,17.0,6262.0,45663.0,45413.0,58.0,1.0,50000.0,21.0,500.0,395.0,29.0,1152.6484
60.0,44.0,950.0,50000.0,7706.0,141.0,10.0,40584.0,17.0,336.0,85.0,9.0,1181.5275
335.0,21.0,4331.0,9590.0,192.0,34.0,8.0,11008.0,10.0,391.0,1.0,30.0,1155.3464
1.0,19.0,6365.0,39197.0,4230.0,122.0,2.0,2887.0,26.0,375.0,216.0,31.0,1118.0463
405.0,41.0,545.0,0.0,22987.0,192.0,10.0,12886.0,39.0,242.0,177.0,1.0,1234.0176
440.0,38.0,6069.0,50000.0,12822.0,182.0,10.0,27953.0,8.0,306.0,490.0,13.0,1119.9392
66.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,50000.0,40.0,239.0,145.0,15.0,1224.0382
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,50.0,670.0,15985.0,1.0,5.0,1.0,1754.0,15.0,182.0,168.0,1.0,1207.8743
145.0,40.0,1978.0,5010.0,24239.0,90.0,2.0,7886.0,32.0,372.0,107.0,9.0,1250.8599
404.0,17.0,6262.0,45663.0,45413.0,58.0,1.0,50000.0,21.0,500.0,395.0,29.0,1152.6484
60.0,44.0,950.0,50000.0,7706.0,141.0,10.0,40584.0,17.0,336.0,85.0,15.0,1184.0947
500.0,21.0,4331.0,9590.0,192.0,34.0,8.0,11008.0,10.0,391.0,1.0,30.0,1163.0402
1.0,19.0,6365.0,44830.0,4230.0,122.0,2.0,2887.0,26.0,375.0,216.0,8.0,1104.0272
405.0,41.0,545.0,0.0,22987.0,192.0,10.0,12886.0,39.0,242.0,177.0,1.0,1234.0176
440.0,38.0,6069.0,50000.0,12822.0,182.0,7.0,27953.0,8.0,306.0,490.0,13.0,1130.8795
256.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,50000.0,40.0,239.0,145.0,15.0,1232.1848
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,50.0,670.0,15985.0,1.0,5.0,1.0,1754.0,15.0,182.0,168.0,1.0,1207.8743
145.0,40.0,1978.0,5010.0,24239.0,90.0,2.0,7886.0,32.0,372.0,107.0,9.0,1250.8599
404.0,17.0,6262.0,45663.0,45413.0,58.0,1.0,50000.0,45.0,500.0,395.0,29.0,1138.6654
60.0,44.0,950.0,50000.0,7706.0,141.0,10.0,40584.0,17.0,336.0,85.0,34.0,1191.8213
500.0,18.0,4331.0,9590.0,192.0,34.0,6.0,11008.0,10.0,391.0,1.0,30.0,1160.6089
1.0,14.0,6365.0,44830.0,4230.0,122.0,2.0,1.0,26.0,375.0,216.0,8.0,1106.8053
405.0,41.0,545.0,0.0,22987.0,192.0,10.0,12886.0,39.0,194.0,177.0,1.0,1241.0944
440.0,38.0,6069.0,50000.0,12822.0,182.0,7.0,27953.0,21.0,306.0,490.0,13.0,1124.7712
256.0,20.0,3166.0,1303.0,43462.0,124.0,3.0,50000.0,40.0,239.0,145.0,15.0,1232.1848
394.0,41.0,1579.0,5428.0,12676.0,189.0,5.0,35673.0,26.0,28.0,204.0,25.0,1305.9473
1.0,50.0,670.0,15985.0,1.0,5.0,1.0,1754.0,15.0,182.0,168.0,1.0,1207.8743
