innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,PERF
2320978.0,42.0,0.0,2.0,103341057.0,54581572.0,45387162.0,33.0,92321.0,19107209.0,172.7
802097.0,20.0,1.0,0.0,146794298.0,9110236.0,47690747.0,36.0,87786.0,13674229.0,176.68
1121215.0,36.0,1.0,2.0,36128599.0,11742870.0,65217012.0,46.0,108351.0,6948949.0,172.34
1144302.0,25.0,1.0,1.0,138554849.0,6634513.0,130840517.0,33.0,86229.0,43142224.0,176.38
1600791.0,30.0,0.0,0.0,123581933.0,111730722.0,145639197.0,35.0,59389.0,45425317.0,169.02
1478340.0,8.0,0.0,0.0,146629620.0,130476575.0,92115021.0,44.0,106422.0,40270040.0,170.94
2556920.0,11.0,1.0,2.0,57817830.0,59883271.0,47133633.0,9.0,116457.0,43772460.0,176.09
682639.0,41.0,0.0,2.0,145302648.0,82097395.0,115797166.0,1.0,19425.0,41174679.0,173.13
1431666.0,9.0,0.0,2.0,22875987.0,74302136.0,135572257.0,3.0,91320.0,21604301.0,169.9
1238716.0,36.0,1.0,2.0,147753711.0,94221043.0,73033974.0,22.0,130338.0,50376500.0,175.25
650907.0,2.0,1.0,0.0,131960508.0,133397601.0,85191989.0,26.0,80463.0,31018898.0,179.41
1453392.0,7.0,1.0,0.0,105717039.0,129681446.0,48249388.0,38.0,45683.0,47895427.0,172.04
2449427.0,42.0,0.0,0.0,31064662.0,60431889.0,2989101.0,10.0,8166.0,62281692.0,178.47
2359536.0,10.0,0.0,2.0,40152429.0,149472089.0,2073343.0,29.0,47780.0,13489428.0,176.62
1343419.0,22.0,0.0,0.0,5533406.0,39143869.0,121603179.0,33.0,55504.0,62603132.0,180.71
2913366.0,34.0,1.0,1.0,6130442.0,49441481.0,13970563.0,18.0,25301.0,40284067.0,184.31
1233559.0,29.0,1.0,0.0,142740376.0,142897620.0,133218342.0,26.0,52567.0,4673383.0,179.62
334469.0,10.0,0.0,0.0,43774183.0,85595140.0,57771464.0,19.0,38909.0,47154307.0,177.53
2386989.0,4.0,1.0,2.0,78015574.0,56254779.0,44734816.0,46.0,101442.0,64785818.0,173.57
3131620.0,13.0,1.0,1.0,1815007.0,118044655.0,8102492.0,45.0,9488.0,43199008.0,184.46
850315.0,28.0,0.0,2.0,51373392.0,27052451.0,133284246.0,37.0,61106.0,6908395.0,183.37
2997287.0,32.0,0.0,0.0,86983186.0,78545806.0,36745147.0,44.0,77404.0,49527453.0,180.52
1831042.0,35.0,0.0,2.0,111057308.0,50584330.0,26422109.0,2.0,93681.0,28513210.0,180.34
1838154.0,8.0,1.0,2.0,2723773.0,67687545.0,22237763.0,28.0,72801.0,28999499.0,176.36
2680827.0,46.0,0.0,2.0,30879145.0,66249391.0,148193272.0,33.0,52023.0,33540668.0,178.7
942061.0,12.0,0.0,1.0,35294670.0,143798524.0,107004175.0,37.0,128574.0,39895333.0,178.4
2400834.0,34.0,1.0,2.0,18971510.0,124424826.0,2522343.0,32.0,118222.0,64909924.0,179.35
3162343.0,39.0,0.0,2.0,99504830.0,117243837.0,106298209.0,16.0,17641.0,44113139.0,178.27
1415129.0,46.0,1.0,0.0,37736619.0,56264538.0,32047454.0,44.0,37484.0,62843186.0,179.54
1618073.0,29.0,1.0,2.0,130372902.0,117545067.0,121724837.0,9.0,50469.0,28034386.0,182.52
1993861.0,17.0,1.0,2.0,57697180.0,120704469.0,96989218.0,14.0,57692.0,61634412.0,181.88
