STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,248.98
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,240.69
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,245.95
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,246.73
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,255.74
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,246.49
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,239.04
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,240.47
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,231.54
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,244.98
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,253.66
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,252.96
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,241.4
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,239.49
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,252.87
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,252.49
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,249.5
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,248.43
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,238.15
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,244.56
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,249.72
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,254.39
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,248.53
