no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1.0,1.0,1.0,1.0,0.0,0.0,0.0,233.0,1.0,4716.46
1.0,0.0,1.0,1.0,1.0,1.0,1.0,118.0,2.0,5608.7
1.0,1.0,0.0,0.0,1.0,0.0,1.0,227.0,8.0,6380.92
0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.0,4.0,6480.73
1.0,0.0,1.0,0.0,0.0,0.0,1.0,219.0,5.0,3682.3
0.0,1.0,0.0,0.0,1.0,0.0,1.0,47.0,8.0,6450.88
1.0,1.0,0.0,1.0,1.0,0.0,0.0,194.0,9.0,6438.14
1.0,1.0,0.0,1.0,0.0,1.0,1.0,98.0,1.0,4669.83
1.0,0.0,1.0,1.0,1.0,0.0,1.0,214.0,7.0,5539.7
0.0,0.0,0.0,1.0,0.0,1.0,1.0,166.0,1.0,3860.03
1.0,1.0,1.0,1.0,1.0,0.0,0.0,246.0,5.0,6522.79
1.0,1.0,0.0,1.0,0.0,1.0,0.0,148.0,10.0,4470.12
1.0,0.0,1.0,0.0,1.0,0.0,0.0,181.0,4.0,5524.94
1.0,1.0,0.0,0.0,1.0,0.0,0.0,191.0,5.0,6405.04
1.0,0.0,1.0,0.0,1.0,1.0,0.0,81.0,5.0,5542.52
0.0,1.0,0.0,1.0,0.0,0.0,0.0,147.0,4.0,4471.3
0.0,0.0,0.0,0.0,1.0,1.0,1.0,167.0,7.0,5396.46
1.0,0.0,1.0,1.0,0.0,0.0,1.0,76.0,1.0,3964.06
1.0,1.0,0.0,0.0,1.0,0.0,1.0,43.0,4.0,6419.45
0.0,0.0,1.0,1.0,0.0,0.0,0.0,217.0,8.0,3723.98
1.0,1.0,1.0,1.0,0.0,0.0,0.0,233.0,1.0,4716.46
1.0,0.0,1.0,1.0,1.0,1.0,1.0,118.0,2.0,5608.7
1.0,1.0,0.0,0.0,1.0,0.0,1.0,227.0,8.0,6380.92
0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.0,4.0,6480.73
1.0,0.0,1.0,0.0,0.0,0.0,1.0,219.0,5.0,3682.3
0.0,1.0,0.0,0.0,1.0,0.0,1.0,47.0,8.0,6450.88
1.0,1.0,0.0,1.0,1.0,0.0,0.0,194.0,9.0,6438.14
1.0,1.0,0.0,1.0,0.0,1.0,1.0,98.0,1.0,4669.83
1.0,0.0,1.0,1.0,1.0,0.0,1.0,214.0,7.0,5539.7
0.0,0.0,0.0,1.0,0.0,1.0,1.0,166.0,1.0,3860.03
1.0,1.0,1.0,1.0,1.0,0.0,0.0,246.0,5.0,6522.79
1.0,1.0,0.0,1.0,0.0,1.0,0.0,148.0,10.0,4470.12
1.0,0.0,1.0,0.0,1.0,0.0,0.0,181.0,4.0,5524.94
1.0,1.0,0.0,0.0,1.0,0.0,0.0,191.0,5.0,6405.04
1.0,0.0,1.0,0.0,1.0,1.0,0.0,81.0,5.0,5542.52
0.0,1.0,0.0,1.0,0.0,0.0,0.0,147.0,4.0,4471.3
0.0,0.0,0.0,0.0,1.0,1.0,1.0,167.0,7.0,5396.46
1.0,0.0,1.0,1.0,0.0,0.0,1.0,76.0,1.0,3964.06
1.0,1.0,0.0,0.0,1.0,0.0,1.0,43.0,4.0,6419.45
0.0,0.0,1.0,1.0,0.0,0.0,0.0,217.0,8.0,3723.98
0.0,0.0,1.0,1.0,0.0,0.0,0.0,233.0,1.0,3890.5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,117.0,3.0,5599.29
1.0,0.0,0.0,0.0,1.0,1.0,1.0,228.0,7.0,5471.02
0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,4348.73
1.0,0.0,1.0,0.0,0.0,0.0,1.0,220.0,6.0,3676.95
1.0,1.0,0.0,0.0,1.0,0.0,0.0,47.0,7.0,6377.38
1.0,1.0,0.0,0.0,1.0,0.0,1.0,193.0,8.0,6380.92
0.0,1.0,0.0,1.0,0.0,1.0,1.0,97.0,1.0,4634.26
1.0,0.0,1.0,1.0,1.0,0.0,1.0,213.0,7.0,5539.7
0.0,1.0,0.0,1.0,0.0,1.0,1.0,141.0,5.0,4490.19
1.0,1.0,1.0,1.0,1.0,0.0,1.0,247.0,5.0,6525.66
1.0,1.0,0.0,1.0,1.0,1.0,1.0,148.0,9.0,6489.94
1.0,0.0,1.0,0.0,1.0,1.0,0.0,181.0,4.0,5553.34
1.0,1.0,1.0,0.0,1.0,0.0,1.0,191.0,6.0,6466.91
1.0,0.0,1.0,0.0,0.0,1.0,0.0,82.0,4.0,3702.89
0.0,1.0,0.0,1.0,0.0,0.0,0.0,146.0,3.0,4481.32
0.0,0.0,1.0,0.0,1.0,1.0,1.0,167.0,7.0,5470.09
1.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,4.0,3747.22
0.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0,3.0,4377.38
0.0,0.0,1.0,1.0,0.0,0.0,0.0,178.0,7.0,3723.97
0.0,0.0,1.0,1.0,0.0,0.0,0.0,250.0,1.0,3890.5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,117.0,3.0,5599.29
1.0,0.0,0.0,0.0,1.0,1.0,1.0,228.0,9.0,5448.99
0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,4348.73
1.0,0.0,1.0,0.0,0.0,0.0,1.0,171.0,9.0,3673.47
1.0,1.0,0.0,0.0,1.0,0.0,0.0,47.0,7.0,6377.38
1.0,1.0,0.0,0.0,1.0,0.0,1.0,193.0,8.0,6380.92
0.0,1.0,0.0,1.0,0.0,1.0,1.0,97.0,4.0,4490.95
1.0,0.0,1.0,1.0,1.0,0.0,1.0,213.0,7.0,5539.7
0.0,1.0,0.0,1.0,0.0,1.0,1.0,141.0,4.0,4490.62
1.0,1.0,1.0,1.0,1.0,0.0,1.0,247.0,5.0,6525.66
1.0,1.0,0.0,1.0,1.0,1.0,1.0,148.0,9.0,6489.94
1.0,0.0,1.0,0.0,1.0,1.0,0.0,181.0,4.0,5553.34
1.0,1.0,1.0,0.0,1.0,0.0,1.0,191.0,6.0,6466.91
1.0,0.0,1.0,0.0,0.0,1.0,0.0,82.0,4.0,3702.89
0.0,1.0,0.0,1.0,0.0,0.0,0.0,146.0,3.0,4481.32
0.0,0.0,1.0,0.0,1.0,1.0,1.0,167.0,7.0,5470.09
1.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,5.0,3740.88
0.0,1.0,1.0,0.0,0.0,0.0,1.0,40.0,3.0,4377.65
0.0,0.0,1.0,1.0,0.0,0.0,0.0,143.0,7.0,3723.97
0.0,0.0,1.0,1.0,0.0,0.0,0.0,250.0,1.0,3890.5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,78.0,3.0,5599.29
1.0,0.0,0.0,0.0,1.0,1.0,1.0,132.0,9.0,5448.99
0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,4348.73
1.0,0.0,1.0,0.0,0.0,0.0,1.0,212.0,9.0,3673.47
1.0,1.0,0.0,0.0,1.0,0.0,0.0,47.0,7.0,6377.38
1.0,1.0,0.0,0.0,1.0,0.0,1.0,193.0,8.0,6380.92
0.0,1.0,0.0,1.0,0.0,1.0,1.0,97.0,4.0,4490.95
1.0,0.0,1.0,1.0,1.0,0.0,1.0,213.0,7.0,5539.7
0.0,1.0,0.0,1.0,0.0,1.0,1.0,141.0,6.0,4486.72
1.0,1.0,1.0,1.0,1.0,0.0,1.0,247.0,5.0,6525.66
1.0,1.0,0.0,1.0,1.0,1.0,1.0,148.0,9.0,6489.94
1.0,0.0,1.0,0.0,1.0,1.0,0.0,181.0,7.0,5535.86
1.0,1.0,1.0,0.0,1.0,0.0,1.0,191.0,6.0,6466.91
1.0,0.0,1.0,0.0,0.0,1.0,0.0,145.0,4.0,3693.2
0.0,1.0,0.0,1.0,0.0,0.0,0.0,93.0,5.0,4475.53
0.0,0.0,1.0,0.0,1.0,1.0,1.0,190.0,7.0,5470.09
1.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,5.0,3740.88
0.0,1.0,1.0,0.0,0.0,0.0,1.0,40.0,3.0,4377.65
0.0,0.0,1.0,1.0,0.0,0.0,0.0,143.0,7.0,3723.97
0.0,0.0,1.0,1.0,0.0,0.0,0.0,224.0,1.0,3890.5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,3.0,5599.29
1.0,0.0,0.0,0.0,1.0,1.0,1.0,132.0,9.0,5448.99
