no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
1.0,0.0,0.0,0.0,1.0,0.0,1.0,117.0,3.0,5498.25
0.0,0.0,0.0,1.0,1.0,0.0,1.0,194.0,6.0,5495.69
0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,7.0,5489.39
0.0,0.0,0.0,1.0,1.0,0.0,1.0,177.0,10.0,5484.12
1.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,7.0,5477.32
0.0,0.0,1.0,0.0,1.0,0.0,1.0,204.0,10.0,5476.07
0.0,0.0,0.0,0.0,1.0,0.0,1.0,188.0,3.0,5447.87
0.0,0.0,0.0,0.0,1.0,1.0,1.0,227.0,7.0,5440.73
0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,10.0,5434.89
0.0,0.0,0.0,0.0,1.0,0.0,0.0,243.0,8.0,5419.15
1.0,1.0,1.0,1.0,0.0,1.0,1.0,92.0,1.0,4744.76
0.0,1.0,1.0,1.0,0.0,0.0,1.0,48.0,1.0,4709.53
1.0,1.0,0.0,1.0,0.0,0.0,1.0,215.0,1.0,4704.46
0.0,1.0,0.0,1.0,0.0,0.0,1.0,149.0,1.0,4688.26
0.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,1.0,4676.15
0.0,1.0,1.0,1.0,0.0,1.0,1.0,133.0,2.0,4558.68
1.0,1.0,1.0,1.0,0.0,1.0,0.0,82.0,3.0,4547.55
0.0,1.0,0.0,1.0,0.0,1.0,1.0,177.0,6.0,4535.32
1.0,1.0,0.0,1.0,0.0,1.0,1.0,183.0,6.0,4533.94
0.0,1.0,0.0,1.0,0.0,1.0,0.0,188.0,10.0,4531.79
0.0,1.0,0.0,1.0,0.0,1.0,0.0,95.0,6.0,4531.4
0.0,1.0,0.0,1.0,0.0,1.0,1.0,200.0,7.0,4528.58
0.0,1.0,1.0,1.0,0.0,1.0,1.0,132.0,6.0,4526.01
1.0,1.0,0.0,1.0,0.0,1.0,1.0,99.0,8.0,4524.26
0.0,1.0,0.0,1.0,0.0,0.0,1.0,127.0,4.0,4523.43
0.0,1.0,0.0,1.0,0.0,0.0,0.0,203.0,4.0,4521.24
0.0,1.0,0.0,1.0,0.0,0.0,0.0,153.0,4.0,4521.24
0.0,1.0,1.0,1.0,0.0,0.0,1.0,166.0,4.0,4518.88
0.0,1.0,0.0,1.0,0.0,0.0,1.0,231.0,4.0,4517.52
0.0,1.0,0.0,1.0,0.0,0.0,1.0,203.0,5.0,4514.2
0.0,1.0,1.0,1.0,0.0,1.0,1.0,49.0,8.0,4511.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.0,8.0,4510.6
1.0,1.0,0.0,1.0,0.0,0.0,0.0,77.0,5.0,4509.81
1.0,1.0,0.0,1.0,0.0,0.0,0.0,192.0,9.0,4509.57
1.0,1.0,0.0,1.0,0.0,0.0,0.0,122.0,7.0,4508.26
1.0,1.0,0.0,1.0,0.0,0.0,1.0,226.0,7.0,4506.68
