no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
1.0,1.0,1.0,1.0,1.0,1.0,0.0,47.0,1.0,6901.94
1.0,1.0,1.0,1.0,1.0,0.0,0.0,118.0,1.0,6901.94
1.0,1.0,1.0,0.0,1.0,0.0,1.0,159.0,1.0,6873.83
0.0,1.0,0.0,1.0,1.0,0.0,1.0,165.0,1.0,6845.16
0.0,1.0,0.0,1.0,1.0,0.0,0.0,152.0,1.0,6843.49
1.0,1.0,0.0,1.0,1.0,1.0,1.0,191.0,1.0,6814.93
0.0,1.0,0.0,0.0,1.0,1.0,0.0,126.0,1.0,6803.75
1.0,1.0,0.0,0.0,1.0,1.0,1.0,76.0,1.0,6781.81
1.0,1.0,0.0,0.0,1.0,1.0,0.0,212.0,1.0,6780.26
0.0,1.0,1.0,1.0,1.0,0.0,1.0,167.0,2.0,6692.62
0.0,1.0,1.0,1.0,1.0,1.0,1.0,246.0,6.0,6684.21
0.0,1.0,1.0,1.0,1.0,1.0,1.0,204.0,6.0,6684.21
0.0,1.0,1.0,1.0,1.0,1.0,0.0,130.0,6.0,6679.81
0.0,1.0,1.0,1.0,1.0,1.0,0.0,136.0,8.0,6676.92
0.0,1.0,1.0,1.0,1.0,1.0,1.0,247.0,7.0,6672.93
0.0,1.0,1.0,1.0,1.0,1.0,1.0,136.0,10.0,6662.72
0.0,1.0,1.0,1.0,1.0,0.0,0.0,169.0,5.0,6646.62
0.0,1.0,0.0,1.0,1.0,1.0,0.0,198.0,3.0,6639.11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,4.0,6638.64
0.0,1.0,1.0,1.0,1.0,0.0,0.0,169.0,6.0,6638.33
0.0,1.0,1.0,0.0,1.0,0.0,0.0,96.0,2.0,6637.68
0.0,1.0,1.0,0.0,1.0,1.0,1.0,108.0,6.0,6634.96
0.0,1.0,1.0,0.0,1.0,1.0,0.0,48.0,6.0,6633.84
0.0,1.0,1.0,0.0,1.0,1.0,0.0,86.0,6.0,6633.84
0.0,1.0,1.0,1.0,1.0,0.0,0.0,160.0,8.0,6629.69
0.0,1.0,1.0,0.0,1.0,1.0,0.0,55.0,8.0,6619.98
0.0,1.0,0.0,1.0,1.0,1.0,1.0,127.0,8.0,6618.42
0.0,1.0,1.0,0.0,1.0,1.0,1.0,207.0,9.0,6612.78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,206.0,6.0,6612.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,194.0,4.0,6609.12
1.0,1.0,1.0,0.0,1.0,1.0,1.0,116.0,2.0,6608.85
0.0,1.0,1.0,0.0,1.0,0.0,0.0,164.0,4.0,6605.86
0.0,1.0,1.0,0.0,1.0,1.0,1.0,59.0,10.0,6605.57
0.0,1.0,1.0,0.0,1.0,0.0,0.0,213.0,5.0,6594.45
1.0,1.0,1.0,1.0,1.0,0.0,0.0,249.0,4.0,6586.71
1.0,1.0,1.0,1.0,1.0,1.0,0.0,169.0,10.0,6583.09
0.0,1.0,0.0,1.0,1.0,0.0,0.0,68.0,7.0,6575.91
1.0,1.0,1.0,1.0,1.0,0.0,1.0,86.0,5.0,6567.94
1.0,1.0,1.0,0.0,1.0,1.0,0.0,62.0,5.0,6567.93
1.0,1.0,0.0,1.0,1.0,1.0,0.0,185.0,4.0,6564.26
0.0,1.0,0.0,0.0,1.0,0.0,1.0,226.0,2.0,6558.48
1.0,1.0,0.0,1.0,1.0,0.0,1.0,135.0,2.0,6558.41
0.0,1.0,0.0,0.0,1.0,0.0,0.0,185.0,2.0,6556.13
1.0,1.0,0.0,1.0,1.0,1.0,0.0,178.0,6.0,6551.75
1.0,1.0,1.0,0.0,1.0,0.0,0.0,132.0,3.0,6550.72
0.0,1.0,0.0,0.0,1.0,1.0,1.0,213.0,6.0,6545.13
1.0,1.0,1.0,1.0,1.0,0.0,1.0,147.0,8.0,6544.02
1.0,1.0,0.0,1.0,1.0,1.0,0.0,235.0,8.0,6540.26
1.0,1.0,1.0,0.0,1.0,1.0,1.0,85.0,9.0,6539.58
0.0,1.0,0.0,0.0,1.0,1.0,1.0,133.0,7.0,6537.94
0.0,1.0,0.0,0.0,1.0,0.0,0.0,221.0,4.0,6528.55
1.0,1.0,1.0,1.0,1.0,0.0,0.0,195.0,10.0,6526.28
1.0,1.0,1.0,0.0,1.0,0.0,1.0,108.0,5.0,6521.83
0.0,1.0,0.0,0.0,1.0,1.0,1.0,91.0,10.0,6520.93
1.0,1.0,0.0,0.0,1.0,1.0,0.0,212.0,3.0,6512.87
1.0,1.0,0.0,0.0,1.0,0.0,0.0,53.0,2.0,6496.11
1.0,1.0,1.0,0.0,1.0,0.0,0.0,57.0,8.0,6494.51
1.0,1.0,0.0,0.0,1.0,1.0,1.0,226.0,5.0,6490.81
1.0,1.0,0.0,1.0,1.0,0.0,1.0,168.0,7.0,6490.37
0.0,1.0,0.0,0.0,1.0,0.0,1.0,248.0,9.0,6486.18
1.0,1.0,0.0,1.0,1.0,0.0,0.0,249.0,8.0,6482.19
1.0,1.0,1.0,0.0,1.0,0.0,1.0,185.0,10.0,6480.13
1.0,1.0,0.0,1.0,1.0,0.0,1.0,225.0,9.0,6478.61
1.0,1.0,0.0,1.0,1.0,0.0,0.0,217.0,9.0,6474.42
1.0,1.0,0.0,0.0,1.0,1.0,1.0,247.0,9.0,6467.66
1.0,1.0,0.0,0.0,1.0,1.0,1.0,118.0,8.0,6464.27
1.0,1.0,0.0,0.0,1.0,1.0,0.0,142.0,9.0,6459.95
1.0,1.0,0.0,0.0,1.0,0.0,1.0,219.0,7.0,6429.8
1.0,1.0,0.0,0.0,1.0,0.0,1.0,126.0,8.0,6425.04
1.0,1.0,0.0,0.0,1.0,0.0,1.0,149.0,9.0,6408.93
1.0,0.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,5851.76
1.0,0.0,1.0,0.0,1.0,1.0,0.0,236.0,1.0,5822.41
0.0,0.0,1.0,1.0,1.0,1.0,0.0,200.0,1.0,5748.4
0.0,0.0,1.0,1.0,1.0,0.0,0.0,167.0,1.0,5748.4
0.0,0.0,1.0,0.0,1.0,1.0,1.0,95.0,1.0,5718.84
0.0,0.0,1.0,0.0,1.0,0.0,0.0,242.0,1.0,5717.95
0.0,0.0,0.0,1.0,1.0,1.0,1.0,222.0,1.0,5669.51
0.0,0.0,0.0,1.0,1.0,1.0,0.0,225.0,1.0,5668.4
0.0,0.0,0.0,1.0,1.0,1.0,0.0,174.0,1.0,5668.4
1.0,0.0,1.0,1.0,1.0,1.0,1.0,65.0,4.0,5636.94
1.0,0.0,1.0,1.0,1.0,1.0,0.0,87.0,4.0,5633.09
0.0,0.0,0.0,0.0,1.0,1.0,1.0,197.0,1.0,5632.73
0.0,0.0,0.0,0.0,1.0,1.0,0.0,212.0,1.0,5631.59
1.0,0.0,1.0,1.0,1.0,1.0,1.0,163.0,6.0,5619.59
1.0,0.0,1.0,1.0,1.0,1.0,1.0,129.0,7.0,5616.52
1.0,0.0,1.0,0.0,1.0,1.0,1.0,197.0,2.0,5613.83
1.0,0.0,1.0,1.0,1.0,0.0,0.0,97.0,2.0,5612.4
1.0,0.0,1.0,1.0,1.0,0.0,0.0,243.0,2.0,5612.4
1.0,0.0,1.0,1.0,1.0,1.0,1.0,74.0,9.0,5610.12
