no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
1.0,1.0,1.0,0.0,1.0,1.0,1.0,177.0,1.0,6873.83
0.0,1.0,1.0,1.0,1.0,1.0,1.0,224.0,5.0,6688.08
0.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,6.0,6684.21
0.0,1.0,1.0,0.0,1.0,1.0,0.0,229.0,3.0,6657.38
0.0,1.0,1.0,1.0,1.0,0.0,0.0,115.0,4.0,6657.23
0.0,1.0,1.0,0.0,1.0,1.0,1.0,127.0,5.0,6638.07
0.0,1.0,1.0,0.0,1.0,0.0,0.0,226.0,3.0,6624.65
0.0,1.0,1.0,1.0,1.0,0.0,1.0,220.0,10.0,6623.19
1.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,2.0,6615.66
0.0,1.0,1.0,0.0,1.0,1.0,1.0,153.0,10.0,6605.57
0.0,1.0,1.0,0.0,1.0,0.0,0.0,195.0,8.0,6570.18
1.0,1.0,1.0,1.0,1.0,0.0,1.0,211.0,6.0,6558.01
1.0,1.0,1.0,1.0,1.0,0.0,1.0,206.0,6.0,6558.01
1.0,1.0,0.0,1.0,1.0,0.0,0.0,200.0,2.0,6554.58
0.0,1.0,0.0,0.0,1.0,1.0,0.0,185.0,7.0,6543.05
0.0,1.0,0.0,0.0,1.0,1.0,1.0,43.0,10.0,6520.93
1.0,1.0,0.0,0.0,1.0,1.0,1.0,193.0,3.0,6517.2
1.0,1.0,0.0,1.0,1.0,0.0,0.0,58.0,7.0,6492.6
1.0,1.0,1.0,0.0,1.0,0.0,1.0,123.0,9.0,6488.99
0.0,1.0,0.0,0.0,1.0,0.0,1.0,82.0,10.0,6486.16
1.0,1.0,0.0,0.0,1.0,0.0,0.0,246.0,6.0,6432.5
1.0,1.0,0.0,0.0,1.0,0.0,0.0,220.0,7.0,6424.33
0.0,0.0,1.0,1.0,1.0,1.0,0.0,89.0,1.0,5748.4
1.0,0.0,1.0,1.0,1.0,1.0,1.0,194.0,3.0,5634.63
1.0,0.0,1.0,1.0,1.0,0.0,0.0,64.0,3.0,5600.77
1.0,0.0,1.0,1.0,1.0,0.0,0.0,57.0,8.0,5584.39
1.0,0.0,1.0,0.0,1.0,1.0,0.0,197.0,7.0,5582.44
1.0,0.0,0.0,1.0,1.0,1.0,0.0,183.0,3.0,5570.92
1.0,0.0,0.0,1.0,1.0,1.0,1.0,94.0,5.0,5563.99
0.0,0.0,1.0,1.0,1.0,1.0,0.0,218.0,6.0,5556.77
1.0,0.0,0.0,1.0,1.0,0.0,0.0,127.0,3.0,5544.76
1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.0,10.0,5526.03
0.0,0.0,1.0,0.0,1.0,0.0,1.0,87.0,2.0,5523.29
0.0,0.0,0.0,1.0,1.0,1.0,1.0,51.0,6.0,5519.85
