no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
1.0,1.0,1.0,1.0,1.0,0.0,0.0,136.0,1.0,6901.94
0.0,1.0,1.0,0.0,1.0,1.0,0.0,197.0,2.0,6678.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,94.0,4.0,6657.23
0.0,1.0,1.0,1.0,1.0,0.0,0.0,48.0,6.0,6638.33
0.0,1.0,1.0,0.0,1.0,0.0,0.0,205.0,4.0,6605.86
0.0,1.0,0.0,1.0,1.0,1.0,1.0,144.0,10.0,6601.17
0.0,1.0,0.0,0.0,1.0,1.0,0.0,174.0,2.0,6589.35
0.0,1.0,0.0,1.0,1.0,0.0,1.0,225.0,6.0,6583.76
0.0,1.0,1.0,0.0,1.0,0.0,0.0,80.0,8.0,6570.18
0.0,1.0,0.0,1.0,1.0,0.0,1.0,201.0,9.0,6561.24
0.0,1.0,0.0,1.0,1.0,0.0,0.0,189.0,10.0,6561.08
0.0,1.0,0.0,0.0,1.0,1.0,0.0,96.0,6.0,6552.32
1.0,1.0,0.0,1.0,1.0,1.0,1.0,218.0,8.0,6540.88
1.0,1.0,1.0,0.0,1.0,0.0,0.0,109.0,4.0,6535.07
1.0,1.0,1.0,1.0,1.0,0.0,1.0,140.0,10.0,6527.9
1.0,1.0,1.0,0.0,1.0,0.0,1.0,170.0,5.0,6521.83
1.0,1.0,1.0,0.0,1.0,0.0,0.0,42.0,6.0,6505.85
1.0,1.0,1.0,0.0,1.0,0.0,1.0,223.0,7.0,6500.39
1.0,1.0,1.0,0.0,1.0,0.0,0.0,142.0,8.0,6494.51
1.0,1.0,0.0,0.0,1.0,1.0,0.0,81.0,9.0,6459.95
1.0,1.0,0.0,0.0,1.0,1.0,0.0,144.0,10.0,6457.15
1.0,0.0,1.0,0.0,1.0,0.0,0.0,117.0,1.0,5822.41
1.0,0.0,0.0,0.0,1.0,0.0,0.0,119.0,1.0,5726.16
0.0,0.0,1.0,0.0,1.0,0.0,0.0,51.0,1.0,5717.95
1.0,0.0,1.0,1.0,1.0,1.0,1.0,242.0,8.0,5609.66
1.0,0.0,1.0,0.0,1.0,0.0,1.0,156.0,2.0,5586.85
1.0,0.0,1.0,1.0,1.0,0.0,0.0,129.0,7.0,5584.23
0.0,0.0,1.0,1.0,1.0,1.0,1.0,62.0,3.0,5575.87
1.0,0.0,0.0,1.0,1.0,1.0,0.0,203.0,8.0,5559.37
0.0,0.0,1.0,1.0,1.0,0.0,1.0,180.0,6.0,5544.86
1.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,3.0,5544.3
0.0,0.0,1.0,1.0,1.0,0.0,1.0,64.0,8.0,5536.53
1.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,10.0,5526.03
1.0,0.0,0.0,1.0,1.0,0.0,1.0,218.0,10.0,5522.53
0.0,0.0,1.0,0.0,1.0,1.0,1.0,216.0,5.0,5514.14
0.0,0.0,0.0,1.0,1.0,0.0,0.0,175.0,2.0,5506.85
1.0,0.0,0.0,0.0,1.0,1.0,1.0,117.0,7.0,5503.24
0.0,0.0,1.0,0.0,1.0,1.0,0.0,174.0,8.0,5501.18
0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,10.0,5477.08
0.0,0.0,0.0,0.0,1.0,1.0,1.0,96.0,4.0,5455.02
0.0,0.0,0.0,0.0,1.0,1.0,0.0,207.0,6.0,5443.03
0.0,0.0,0.0,0.0,1.0,0.0,1.0,154.0,8.0,5417.71
0.0,0.0,0.0,0.0,1.0,0.0,1.0,198.0,10.0,5412.28
1.0,1.0,1.0,1.0,0.0,1.0,0.0,61.0,2.0,4551.77
1.0,1.0,1.0,1.0,0.0,1.0,1.0,42.0,2.0,4545.52
1.0,1.0,1.0,1.0,0.0,1.0,1.0,145.0,4.0,4536.2
0.0,1.0,0.0,1.0,0.0,1.0,1.0,215.0,8.0,4534.21
0.0,1.0,0.0,1.0,0.0,1.0,0.0,43.0,4.0,4527.13
1.0,1.0,1.0,1.0,0.0,1.0,0.0,45.0,5.0,4520.96
0.0,1.0,0.0,1.0,0.0,0.0,0.0,73.0,9.0,4511.83
1.0,1.0,0.0,1.0,0.0,0.0,0.0,150.0,9.0,4509.57
1.0,1.0,1.0,1.0,0.0,1.0,0.0,143.0,10.0,4505.01
0.0,1.0,1.0,1.0,0.0,0.0,0.0,201.0,6.0,4502.93
1.0,1.0,1.0,1.0,0.0,0.0,1.0,118.0,8.0,4492.43
0.0,1.0,1.0,0.0,0.0,1.0,0.0,227.0,2.0,4462.09
