no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,0.0,1.0,0.0,1.0,1.0,0.0,57.0,1.0,5680.22
1.0,0.0,1.0,0.0,1.0,1.0,0.0,54.0,3.0,5557.23
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,50.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,52.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
0.0,0.0,1.0,0.0,1.0,1.0,1.0,51.0,8.0,5461.88
