no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
0.0,1.0,1.0,1.0,1.0,0.0,1.0,101.0,1.0,6935.69
1.0,1.0,1.0,1.0,1.0,1.0,1.0,196.0,1.0,6903.55
0.0,1.0,0.0,1.0,1.0,0.0,1.0,172.0,1.0,6845.16
0.0,1.0,0.0,1.0,1.0,1.0,1.0,135.0,1.0,6845.16
0.0,1.0,0.0,0.0,1.0,1.0,1.0,168.0,1.0,6805.19
0.0,1.0,1.0,0.0,1.0,1.0,0.0,205.0,2.0,6678.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,121.0,2.0,6670.46
0.0,1.0,1.0,0.0,1.0,1.0,0.0,143.0,3.0,6657.38
0.0,1.0,0.0,1.0,1.0,1.0,1.0,220.0,2.0,6655.62
1.0,1.0,1.0,1.0,1.0,1.0,1.0,242.0,4.0,6638.64
0.0,1.0,1.0,1.0,1.0,0.0,0.0,235.0,6.0,6638.33
0.0,1.0,1.0,0.0,1.0,1.0,0.0,98.0,5.0,6633.99
0.0,1.0,1.0,0.0,1.0,1.0,0.0,60.0,8.0,6619.98
0.0,1.0,0.0,1.0,1.0,1.0,0.0,89.0,7.0,6613.59
1.0,1.0,1.0,0.0,1.0,1.0,1.0,148.0,3.0,6604.76
0.0,1.0,0.0,1.0,1.0,1.0,0.0,134.0,10.0,6601.32
0.0,1.0,1.0,0.0,1.0,0.0,0.0,117.0,5.0,6594.45
1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,4.0,6586.71
1.0,1.0,1.0,1.0,1.0,0.0,0.0,131.0,4.0,6586.71
1.0,1.0,1.0,1.0,1.0,1.0,1.0,202.0,10.0,6584.43
0.0,1.0,1.0,0.0,1.0,0.0,0.0,241.0,6.0,6584.01
0.0,1.0,1.0,0.0,1.0,0.0,0.0,91.0,7.0,6577.72
1.0,1.0,1.0,0.0,1.0,1.0,1.0,122.0,5.0,6577.08
0.0,1.0,0.0,1.0,1.0,0.0,0.0,118.0,7.0,6575.91
