no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,0,0,0,1,1,0,61,3,5484.44
1,0,0,0,1,1,0,88,1,5688.78
1,0,0,0,1,1,0,95,1,5688.78
1,0,0,0,1,1,0,82,1,5688.78
1,0,0,0,1,1,0,86,1,5688.78
0,0,1,0,1,1,0,55,2,5497.96
0,0,1,0,1,1,0,55,3,5484.1
1,0,1,1,1,0,1,55,5,-1
0,0,1,0,1,1,0,55,1,5680.22
0,0,1,0,1,1,0,55,2,5497.96
0,0,1,0,1,1,0,50,3,5484.1
0,0,1,0,1,1,0,58,1,5680.22
0,0,1,0,1,1,0,53,3,5484.1
0,0,1,0,1,1,0,40,1,5680.22
1,0,1,1,0,1,1,41,1,-1
0,0,1,0,1,1,0,40,1,5680.22
1,0,1,0,1,1,0,40,1,5768.22
1,0,1,0,1,1,0,44,1,5768.22
1,0,1,1,0,1,1,44,1,-1
0,1,0,1,0,1,1,55,2,-1
0,1,0,1,0,1,1,56,2,-1
1,1,1,1,1,0,0,56,8,-1
1,1,1,1,1,0,0,57,8,-1
1,1,1,1,1,0,0,57,8,-1
1,1,1,1,1,0,0,57,8,-1
1,1,1,1,1,0,0,57,8,-1
1,1,1,1,1,0,0,57,8,-1
1,1,0,1,0,0,1,50,2,-1
1,0,1,0,1,1,0,50,1,5768.22
1,0,0,0,1,1,0,45,1,5688.78
1,0,1,0,1,1,0,48,1,5768.22
1,0,0,0,1,1,0,46,1,5688.78
1,1,0,0,1,0,1,47,1,-1
1,0,1,0,1,1,0,44,1,5768.22
1,0,0,0,1,1,0,47,1,5688.78
1,0,0,1,0,1,0,42,1,-1
1,0,1,0,1,1,0,51,1,5768.22
1,0,1,0,0,1,0,54,1,3910.01
1,0,1,0,1,1,0,50,1,5768.22
1,0,1,0,1,1,0,48,1,5768.22
0,0,1,0,1,1,0,40,1,5680.22
1,0,1,1,0,1,1,42,1,-1
1,0,1,1,0,1,1,56,1,-1
1,0,1,1,0,1,1,57,1,-1
1,0,1,0,1,1,1,45,2,5565.85
0,1,0,1,0,1,1,46,2,-1
0,0,1,0,1,1,0,46,2,5497.96
1,0,1,0,1,1,0,46,1,5768.22
1,0,0,0,0,0,0,46,1,-1
1,0,0,0,0,0,0,46,1,-1
1,0,0,1,0,0,0,56,1,-1
1,0,0,1,0,0,0,46,2,-1
1,0,0,1,0,0,0,46,2,-1
0,1,1,0,0,0,1,46,1,-1
0,1,1,0,0,0,1,45,1,-1
1,0,1,0,1,1,0,45,1,5768.22
1,0,1,0,0,1,0,45,1,3902.76
1,0,1,0,1,1,0,45,1,5768.22
1,0,1,0,1,1,0,45,1,5768.22
1,0,1,0,1,1,0,57,1,5768.22
0,1,1,0,0,0,1,59,1,-1
1,0,0,1,0,1,0,59,1,-1
1,0,1,1,0,1,1,59,1,-1
0,1,1,1,1,0,1,59,1,-1
0,0,1,0,1,1,0,59,2,5497.96
1,1,1,1,1,0,0,58,8,-1
1,1,1,1,1,0,0,58,8,-1
1,1,1,1,0,0,1,58,1,-1
1,1,1,1,0,0,1,58,1,-1
1,0,0,0,1,1,0,59,1,5688.78
1,0,0,0,1,1,0,59,1,5688.78
1,0,0,0,1,1,0,59,1,5688.78
1,0,1,0,1,1,0,43,1,5768.22
1,1,0,1,0,1,0,43,9,-1
1,1,1,1,1,0,0,49,8,-1
1,1,1,1,1,0,0,49,8,-1
1,0,1,0,1,1,0,49,1,5768.22
1,0,1,0,1,1,0,49,1,5768.22
1,0,0,1,0,0,0,49,1,-1
1,0,1,0,1,1,0,49,1,5768.22
1,0,1,0,1,1,0,49,1,5768.22
1,0,1,0,1,1,0,49,1,5768.22
1,1,1,1,0,0,1,49,1,-1
1,1,1,1,0,0,1,49,1,-1
0,1,0,1,0,1,1,49,8,-1
1,0,1,1,0,1,1,49,1,-1
1,0,1,1,0,1,1,49,1,-1
1,0,1,1,0,1,1,49,1,-1
1,0,1,1,0,1,1,49,1,-1
1,0,1,0,1,1,1,49,2,5565.85
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
