no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,0,1,0,1,1,0,61,8,5535.45
1,0,1,0,1,1,0,63,8,5535.45
1,0,1,0,1,1,0,71,6,5540.58
1,0,1,0,1,1,0,67,7,5535.86
1,0,1,0,1,1,0,84,8,5535.45
1,0,1,0,1,1,0,58,3,5557.23
1,0,1,0,1,1,0,62,6,5540.58
0,0,1,0,1,1,0,60,2,5497.96
1,0,1,0,1,1,0,60,4,5553.34
1,0,1,0,1,1,0,56,5,5542.52
0,0,1,0,1,1,0,61,2,5497.96
0,0,1,0,1,1,0,67,3,5484.1
0,0,1,0,1,1,0,40,1,5680.22
0,0,1,0,1,1,0,56,1,5680.22
0,1,0,1,0,0,0,40,6,-1
0,1,0,1,0,0,0,88,7,-1
0,1,0,1,0,0,0,88,7,-1
0,1,0,1,0,0,0,88,6,-1
0,1,0,1,0,0,0,88,6,-1
0,0,1,1,1,0,0,88,5,-1
0,0,1,1,1,0,0,88,4,-1
1,1,1,1,0,0,1,88,1,-1
1,1,1,1,0,0,1,88,1,-1
1,1,1,1,0,0,1,88,1,-1
1,1,1,1,0,0,1,88,1,-1
1,1,1,1,0,0,1,88,1,-1
1,1,1,1,0,0,1,88,1,-1
0,0,1,0,0,0,1,47,6,-1
1,0,1,0,1,1,0,46,8,5535.45
0,1,1,1,0,0,1,46,9,-1
0,1,1,1,0,0,1,45,9,-1
0,1,0,1,0,0,0,45,2,-1
0,1,1,1,0,0,1,82,9,-1
0,1,1,0,1,1,1,60,8,-1
1,0,1,0,1,0,1,62,9,-1
0,1,1,0,1,0,0,87,5,-1
0,0,1,0,1,1,0,40,1,5680.22
0,0,1,0,0,1,0,47,1,3821.84
1,0,1,0,1,1,0,40,4,5553.34
1,1,0,1,0,1,0,40,4,-1
1,0,1,0,1,1,0,52,4,5553.34
0,1,0,1,0,0,0,46,6,-1
1,0,1,0,1,1,0,51,5,5542.52
1,0,0,0,1,1,0,44,5,5478.03
1,0,1,0,1,1,0,43,4,5553.34
1,0,1,0,1,1,0,44,5,5542.52
1,0,1,0,1,1,0,41,1,5768.22
1,0,1,0,1,1,0,58,1,5768.22
0,0,0,0,1,0,1,48,5,-1
0,0,0,0,1,0,1,46,5,-1
1,0,1,1,1,0,0,58,9,-1
1,1,1,0,1,1,1,46,8,-1
1,1,1,0,1,1,1,46,8,-1
0,0,0,1,0,0,0,46,1,-1
0,0,0,1,0,0,0,45,1,-1
1,0,1,0,1,1,0,61,1,5768.22
1,0,1,0,1,1,0,56,1,5768.22
0,0,1,0,1,1,0,53,1,5680.22
0,0,1,0,1,1,0,50,1,5680.22
0,0,1,0,1,1,0,40,1,5680.22
0,0,0,1,0,0,0,47,1,-1
0,0,1,0,1,1,0,46,1,5680.22
0,0,1,0,1,1,0,40,1,5680.22
0,0,1,0,1,1,0,41,1,5680.22
0,0,1,0,1,1,0,42,1,5680.22
1,1,1,1,0,0,1,52,1,-1
0,0,1,0,1,1,0,40,1,5680.22
0,0,1,0,1,1,0,44,1,5680.22
0,0,1,0,1,1,0,43,1,5680.22
0,0,1,0,1,1,0,42,1,5680.22
0,0,1,0,1,1,0,60,1,5680.22
0,0,1,0,1,1,0,60,1,5680.22
1,0,0,0,1,1,0,40,2,5497.76
0,0,1,0,1,1,0,56,1,5680.22
0,0,1,0,1,1,0,99,1,5680.22
0,0,1,0,1,1,0,111,1,5680.22
0,0,1,0,1,1,0,108,1,5680.22
1,1,0,1,0,1,0,40,1,-1
0,1,1,0,1,0,1,48,2,-1
0,0,1,0,0,1,0,40,1,3812.38
1,0,1,0,1,1,0,57,1,5768.22
0,0,1,0,1,1,0,40,1,5680.22
0,0,1,0,1,1,0,45,1,5680.22
0,0,1,0,1,1,0,44,1,5680.22
1,1,1,1,1,1,1,51,2,-1
1,0,0,0,1,1,0,47,1,5688.78
1,0,0,0,1,1,0,47,1,5688.78
1,0,0,0,1,1,0,47,1,5688.78
1,0,0,0,1,1,0,47,1,5688.78
1,0,1,0,1,1,0,47,1,5768.22
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
0,0,0,0,0,0,0,1,0,3108.25
