no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,4.0,3623.58
0.0,1.0,0.0,0.0,0.0,1.0,0.0,123.0,9.0,4360.26
1.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,5.0,5501.31
0.0,1.0,0.0,1.0,1.0,1.0,1.0,166.0,4.0,6596.0
1.0,0.0,1.0,0.0,1.0,1.0,1.0,40.0,1.0,5769.25
0.0,0.0,1.0,1.0,0.0,1.0,0.0,250.0,9.0,3724.55
1.0,0.0,1.0,0.0,1.0,0.0,0.0,250.0,6.0,5515.73
0.0,0.0,1.0,0.0,0.0,0.0,1.0,189.0,9.0,3628.49
1.0,0.0,1.0,0.0,0.0,1.0,1.0,40.0,9.0,3666.85
1.0,1.0,0.0,0.0,0.0,0.0,0.0,227.0,9.0,4331.06
0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,5.0,3622.61
0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,9.0,4336.41
1.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,5.0,5501.31
0.0,1.0,0.0,1.0,1.0,1.0,1.0,166.0,4.0,6596.0
1.0,0.0,1.0,0.0,1.0,1.0,1.0,40.0,1.0,5769.25
0.0,0.0,1.0,1.0,0.0,1.0,0.0,180.0,9.0,3724.55
1.0,0.0,1.0,0.0,1.0,0.0,0.0,250.0,6.0,5515.73
0.0,0.0,1.0,0.0,0.0,0.0,1.0,165.0,9.0,3628.49
1.0,0.0,1.0,0.0,0.0,1.0,1.0,40.0,9.0,3666.85
1.0,1.0,0.0,0.0,0.0,0.0,0.0,227.0,9.0,4331.06
0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,4.0,3623.58
0.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,9.0,4343.4
1.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,5.0,5501.31
0.0,1.0,0.0,1.0,1.0,1.0,1.0,166.0,4.0,6596.0
