no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0.0,1.0,1.0,0.0,1.0,0.0,1.0,40.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,136.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,250.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,196.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,183.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,96.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,133.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,150.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,119.0,1.0,6910.56
0.0,1.0,1.0,0.0,1.0,1.0,1.0,166.0,1.0,6910.56
