replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
2,113,843,-4,199,12,yes,3944,48,-1
1,112,588,-2,100,12,yes,1144,474,-1
10.0,35.0,276.0,-3.0,288.0,11.0,no,2111.0,16.0,76840.0859375
3,74,637,-4,146,8,no,1449,12,-1
9.0,85.0,749.0,-4.0,299.0,18.0,no,1663.0,362.0,78916.9296875
8.0,122.0,580.0,-2.0,234.0,10.0,yes,4412.0,424.0,77344.4921875
6.0,89.0,283.0,-4.0,259.0,11.0,no,2744.0,353.0,76865.8671875
8.0,68.0,593.0,-3.0,256.0,13.0,no,2448.0,16.0,76546.859375
1,100,1011,-3,179,8,yes,4910,386,-1
6.0,115.0,434.0,-3.0,290.0,14.0,no,1346.0,275.0,77444.640625
11.0,33.0,858.0,-2.0,277.0,16.0,yes,2593.0,282.0,76582.015625
5,37,924,-3,140,13,no,1784,174,-1
6.0,92.0,726.0,-3.0,106.0,8.0,no,2922.0,432.0,76591.0546875
9.0,109.0,883.0,-4.0,268.0,15.0,no,83.0,8.0,76887.421875
9,56,340,-3,169,6,no,2637,85,-1
4,100,605,-4,195,5,no,2105,95,-1
2,118,648,-4,221,17,no,89,74,-1
8.0,47.0,797.0,-2.0,209.0,8.0,yes,3989.0,259.0,76781.84375
3,94,559,-3,164,14,no,1493,485,-1
10.0,61.0,915.0,-4.0,288.0,16.0,no,1262.0,5.0,76606.5390625
10.0,36.0,885.0,-1.0,214.0,8.0,yes,4869.0,353.0,72831.859375
6.0,68.0,522.0,-4.0,235.0,11.0,no,522.0,334.0,76608.421875
4,80,506,-2,280,5,no,1639,495,-1
9.0,65.0,420.0,-2.0,268.0,19.0,no,4412.0,345.0,76810.703125
6,127,436,-2,117,8,yes,1065,381,-1
7,113,539,-4,158,18,yes,4772,445,-1
2,85,336,-5,115,18,yes,4143,171,-1
7,107,546,-3,145,6,no,4454,283,-1
10.0,76.0,469.0,-2.0,266.0,5.0,yes,458.0,59.0,76695.578125
10,36,440,-1,184,7,no,1207,373,-1
2,119,547,-1,282,9,no,2385,51,-1
8,36,264,-1,159,14,no,1566,32,-1
10,125,1001,-5,143,14,yes,2715,345,-1
8,57,672,-4,149,6,no,4917,225,-1
8,94,978,-3,161,10,no,4236,448,-1
4,64,674,-3,219,9,no,1219,37,-1
7,39,314,-2,158,17,no,4313,78,-1
6,108,315,-1,135,17,yes,4108,161,-1
2,81,962,-4,279,7,yes,159,159,-1
10.0,109.0,953.0,-2.0,249.0,15.0,no,2163.0,80.0,76614.65625
