replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
1.0,122.0,343.0,-2.0,300.0,20.0,no,639.0,37.0,77299.59
1.0,36.0,290.0,-3.0,103.0,20.0,yes,72.0,7.0,71539.4
5.0,112.0,677.0,-3.0,177.0,15.0,yes,4507.0,280.0,78968.39
6.0,62.0,568.0,-2.0,120.0,13.0,yes,479.0,406.0,77058.5
4.0,122.0,723.0,-2.0,235.0,18.0,no,3384.0,315.0,76739.62
10.0,113.0,486.0,-4.0,276.0,16.0,yes,729.0,38.0,77224.33
4.0,91.0,645.0,-3.0,275.0,5.0,yes,1406.0,270.0,76807.93
11.0,47.0,866.0,-1.0,300.0,9.0,no,3252.0,215.0,68587.83
9.0,63.0,767.0,-3.0,220.0,14.0,no,4496.0,325.0,76604.414
9.0,95.0,256.0,-2.0,291.0,10.0,no,3913.0,151.0,76974.24
1.0,122.0,343.0,-2.0,300.0,20.0,no,639.0,37.0,77299.59
1.0,36.0,290.0,-3.0,103.0,20.0,yes,72.0,7.0,71539.4
5.0,112.0,677.0,-3.0,177.0,15.0,yes,4507.0,280.0,78968.39
6.0,62.0,568.0,-2.0,120.0,13.0,yes,479.0,406.0,77058.5
4.0,122.0,723.0,-2.0,235.0,18.0,no,3384.0,315.0,76739.62
10.0,113.0,486.0,-4.0,276.0,16.0,yes,729.0,38.0,77224.33
4.0,91.0,645.0,-3.0,275.0,5.0,yes,1406.0,270.0,76807.93
11.0,47.0,866.0,-1.0,300.0,9.0,no,3252.0,215.0,68587.83
9.0,63.0,767.0,-3.0,220.0,14.0,no,4496.0,325.0,76604.414
9.0,95.0,256.0,-2.0,291.0,10.0,no,3913.0,151.0,76974.24
2.0,122.0,343.0,-3.0,299.0,20.0,no,639.0,36.0,77339.96
2.0,32.0,290.0,-5.0,103.0,20.0,yes,73.0,7.0,74833.516
5.0,112.0,676.0,-3.0,178.0,14.0,yes,4508.0,281.0,78795.836
