replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
8,99,749,-4,175,17,no,3493,82,75487.93666666666
8,38,755,-4,271,11,no,2731,443,73374.37333333334
9,72,423,-5,292,19,no,1155,83,73353.15666666668
9,92,515,-4,232,11,no,3943,337,76541.19333333333
5,76,1005,-4,265,17,no,2079,216,78262.02333333333
8,72,960,-1,167,16,yes,3182,311,71489.38666666667
3,33,484,-3,235,8,no,4613,433,77626.03333333334
8,91,315,-5,211,8,no,2370,110,74092.83
8,67,429,-5,299,16,no,4799,31,81281.98666666666
10,110,675,-3,246,17,no,266,335,67588.84666666666
9,35,416,-5,260,14,no,2613,315,78441.76000000001
3,115,702,-4,148,17,no,964,356,71931.34333333334
7,109,320,-3,182,18,no,4516,455,71165.05333333333
4,71,302,-3,281,6,yes,3364,422,74311.87000000001
11,119,257,-4,263,10,no,2372,80,74939.73
3,63,961,-1,117,5,no,1705,404,75199.30666666667
1,128,710,-3,266,15,no,1272,384,78882.10333333333
11,108,600,-2,151,11,yes,4002,158,73863.56666666667
1,91,775,-4,122,20,yes,1037,393,74269.18000000001
9,54,358,-5,254,7,yes,3179,384,78652.53
10,34,318,-4,153,10,yes,3793,236,77765.80666666666
9,126,641,-2,189,5,yes,486,314,73026.77
2,81,808,-4,117,6,no,4484,147,73216.64000000001
1,33,855,-2,160,14,yes,2414,68,71740.08666666667
1,57,384,-5,195,17,yes,1145,328,75586.29
3,68,854,-2,195,9,no,2655,340,74332.05666666667
4,84,1023,-2,103,9,yes,3633,457,70894.39333333334
3,114,300,-1,228,10,yes,3549,389,79176.54
11,47,282,-4,161,13,no,2224,73,71486.56666666667
3,33,586,-4,240,10,yes,3669,445,71190.26
8,87,830,-1,181,15,yes,2812,28,71941.21999999999
1,55,532,-1,178,17,yes,436,483,75423.22000000002
11,53,516,-1,162,16,no,494,100,76038.45333333332
6,36,344,-2,232,16,yes,166,324,75389.17666666668
2,117,636,-1,142,10,yes,4215,323,76651.28333333334
10,65,919,-1,188,13,yes,4147,40,71606.59
9,108,383,-5,190,7,no,2486,398,79536.97666666667
8,37,527,-1,276,14,yes,1007,253,72626.52666666667
1,114,757,-3,168,17,yes,2798,23,75002.03666666667
4,128,681,-4,250,5,yes,4846,162,74790.84333333334
3,67,764,-4,225,15,no,967,218,73546.46666666666
10,58,340,-4,123,20,yes,923,100,72368.70666666667
3,100,313,-4,176,20,no,773,290,74596.52
5,88,492,-5,210,14,no,383,170,68991.40999999999
11,51,705,-4,227,16,yes,4523,237,76858.41
9,55,400,-4,211,17,yes,3981,295,76821.25333333334
2,79,831,-4,212,10,yes,2032,30,82526.56333333334
10,124,949,-5,184,7,yes,3016,482,68238.06
1,38,433,-2,201,14,no,2485,129,72332.28000000001
10,51,517,-4,187,15,yes,4499,440,76356.84999999999
9,90,511,-5,170,6,no,4346,321,71761.69
6,53,566,-4,290,6,yes,4395,154,71930.55333333334
11,128,703,-5,248,15,yes,2245,239,85150.18666666666
11,48,481,-3,108,10,no,225,246,81714.15000000001
11,47,796,-3,104,6,no,611,292,80575.60333333333
4,114,621,-4,140,20,yes,1059,221,71647.51666666666
5,35,429,-3,211,15,yes,1395,182,72312.83333333333
11,116,771,-2,191,20,no,3247,213,72061.95666666667
6,35,779,-4,104,20,no,2522,167,75538.62666666666
11,124,801,-5,252,15,yes,3900,296,69314.16
1,33,459,-5,283,20,no,235,318,72259.16333333333
11,68,947,-5,266,17,yes,1481,392,76362.58333333333
10,41,414,-3,165,15,yes,2711,470,70960.06666666667
1,84,465,-4,111,15,yes,1989,399,77400.02666666667
6,126,325,-1,248,10,no,4304,216,68473.73
2,52,409,-1,167,14,yes,1456,348,73197.39
11,50,418,-3,194,17,no,2284,104,77260.68333333333
3,89,719,-4,254,6,no,707,102,76957.84999999999
9,72,902,-4,298,16,no,2835,168,76067.33
7,78,385,-5,298,6,no,3988,192,80230.35666666667
11,112,786,-2,207,7,no,2622,491,71023.40333333334
1,94,819,-2,174,19,no,1399,287,75686.50666666667
4,56,744,-5,103,6,yes,586,223,77339.04
11,76,766,-1,104,12,yes,2462,10,74498.87666666666
6,60,500,-4,221,17,yes,1079,96,72020.33
5,87,543,-1,278,20,no,2107,276,70312.86333333334
2,77,373,-5,296,5,no,880,10,67186.16333333333
3,43,981,-3,267,5,no,2240,263,72857.90666666668
4,80,428,-2,167,9,yes,4687,45,73960.82333333335
10,97,776,-2,120,19,no,782,432,72031.98
3,84,524,-4,145,10,yes,664,274,74193.42
9,63,400,-4,100,17,yes,2122,56,73806.35333333333
9,92,546,-1,281,5,no,1070,132,76275.27666666667
1,100,562,-5,181,20,yes,1180,442,77954.27333333333
11,35,696,-1,125,16,yes,2624,73,66883.55666666667
7,80,953,-5,138,7,no,2986,387,70471.41333333333
10,111,996,-2,294,10,no,2154,154,77018.37000000001
5,115,723,-4,134,8,yes,386,484,70895.20333333334
2,57,484,-3,210,6,yes,4183,404,74452.57333333333
5,85,507,-3,109,19,yes,1999,346,76839.83
1,70,878,-3,121,10,yes,2167,125,71401.57666666666
3,108,956,-4,136,16,yes,4119,467,67230.40000000001
7,73,283,-5,133,16,yes,2244,332,82038.41666666667
3,40,427,-1,208,13,no,4465,440,71577.88666666667
2,125,400,-3,250,14,yes,2338,297,78195.56333333334
4,33,852,-5,131,5,no,3180,491,76550.82
11,40,667,-3,168,12,no,93,332,73914.32666666666
10,32,598,-4,273,12,no,2191,324,70931.09999999999
10,33,730,-3,121,19,yes,1227,149,74511.96666666667
6,64,935,-3,209,11,yes,2825,130,71687.48999999999
