StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
1.0,8.0,12.0,33.0,130.0,4383.6123046875
1.0,8.0,12.0,29.0,123.0,4435.04052734375
1.0,8.0,12.0,36.0,134.0,4349.5625
1.0,9.0,11.0,20.0,106.0,4490.2705078125
1.0,9.0,11.0,18.0,103.0,4502.40673828125
1.0,9.0,11.0,50.0,57.0,4608.3037109375
1.0,9.0,11.0,49.0,56.0,4610.1318359375
1.0,9.0,11.0,49.0,53.0,4616.6337890625
2.0,9.0,11.0,56.0,60.0,4524.5146484375
1.0,9.0,11.0,55.0,58.0,4607.3349609375
1.0,9.0,11.0,55.0,59.0,4605.27880859375
2.0,9.0,11.0,55.0,58.0,4528.39892578125
1.0,10.0,12.0,53.0,58.0,4652.11474609375
1.0,10.0,12.0,52.0,60.0,4647.60693359375
1.0,10.0,12.0,53.0,60.0,4647.76513671875
1.0,10.0,11.0,52.0,59.0,4625.7705078125
1.0,10.0,11.0,53.0,59.0,4625.9189453125
1.0,10.0,11.0,51.0,59.0,4625.623046875
1.0,10.0,11.0,51.0,57.0,4630.0693359375
1.0,10.0,11.0,52.0,61.0,4621.32421875
1.0,10.0,11.0,50.0,60.0,4623.25048828125
1.0,10.0,11.0,49.0,59.0,4625.326171875
1.0,10.0,11.0,51.0,53.0,4638.88818359375
1.0,10.0,11.0,53.0,53.0,4639.1513671875
1.0,10.0,11.0,52.0,54.0,4636.82421875
1.0,10.0,11.0,53.0,54.0,4636.9560546875
1.0,9.0,11.0,58.0,58.0,4607.98046875
1.0,9.0,11.0,57.0,60.0,4603.630859375
1.0,9.0,11.0,57.0,59.0,4605.71826171875
1.0,9.0,11.0,57.0,61.0,4601.5
1.0,9.0,12.0,57.0,60.0,4626.376953125
1.0,10.0,11.0,51.0,61.0,4621.17578125
1.0,10.0,12.0,50.0,63.0,4640.7744140625
1.0,10.0,12.0,51.0,63.0,4640.91796875
1.0,10.0,12.0,51.0,62.0,4643.10009765625
1.0,10.0,12.0,53.0,61.0,4645.60107421875
1.0,10.0,12.0,49.0,74.0,4616.8330078125
1.0,10.0,12.0,48.0,74.0,4616.61572265625
1.0,10.0,13.0,49.0,70.0,4650.1513671875
1.0,10.0,13.0,49.0,67.0,4656.392578125
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
0.0,0.0,10.0,10.0,20.0,4587.8037109375
