StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
3,8,20,181,59,-1
5,6,17,118,60,4352.81
2,7,11,26,68,-1
2,7,11,27,68,3571.99
3,7,12,34,68,4399.93
3,7,12,36,67,4220.67
3,7,13,48,66,-1
3,7,12,37,67,-1
2,7,11,18,69,4470.48
3,7,13,45,66,4449.13
3,7,13,43,67,3584.12
3,7,13,51,66,-1
4,6,13,58,63,4297.9
5,6,12,49,62,-1
5,6,12,50,62,4244.39
5,6,12,51,62,4329.68
5,6,13,55,63,-1
5,6,13,58,63,4247.63
4,6,14,64,64,4164.15
5,6,12,46,61,-1
4,6,14,63,64,3954.67
7,10,11,244,0,4285.41
4,9,11,109,31,4365.05
7,1,20,1,395,-1
4,7,11,94,25,3960.54
4,8,11,115,33,-1
2,7,11,94,18,4349.01
2,5,11,159,18,-1
4,6,11,120,34,4432.31
5,7,11,93,30,4326.4
10,1,20,1,1000,3961.61
2,4,15,44,60,-1
3,4,14,36,60,4337.06
5,2,13,1,54,3949.11
1,1,11,1,64,4236.81
1,2,15,12,61,-1
1,1,14,15,70,4496.04
1,1,11,1,119,4273.38
4,1,11,1,65,4335.76
1,6,20,525,101,-1
10,10,20,179,38,4336.77
3,5,16,41,30,-1
4,3,16,53,24,3903.63
4,3,15,54,28,3872.14
2,6,20,7,0,-1
3,6,16,15,33,-1
5,3,15,34,27,4345.58
1,8,20,1,0,4310.53
5,3,16,16,19,-1
3,6,18,20,20,3955.51
4,5,15,47,37,-1
1,1,11,1,95,4281.26
1,2,13,1,65,-1
1,1,11,1,82,4360.33
1,1,11,1,108,3903.75
2,1,11,1,67,-1
1,1,11,1,77,1513.13
1,2,14,1,67,-1
1,1,12,1,82,4096.45
1,1,12,1,64,-1
10,10,20,1000,0,4531.42
3,7,20,1,55,4344.1
3,5,20,1,57,4259.92
1,6,20,1,67,4295.73
1,10,20,1,70,3892.37
5,10,20,1,47,4374.1
5,7,20,1,53,3985.11
5,7,20,1,52,4187.61
4,9,20,1,52,4318.96
4,6,19,1,54,-1
1,10,20,1,57,4323.43
5,7,17,19,59,3592.04
6,7,18,24,62,3584.99
6,9,20,24,77,4303.81
5,8,19,484,47,4549.19
5,8,19,442,47,-1
5,8,19,472,47,4513.85
4,8,18,344,46,-1
5,8,19,494,48,4304.44
5,8,19,422,47,-1
5,8,19,423,47,4445.31
5,8,19,451,47,-1
5,8,19,443,47,3608.32
5,8,19,431,47,3570.42
6,8,13,1,121,-1
5,9,11,1,116,4347.57
6,10,11,1,126,4228.1
6,8,14,1,120,-1
6,9,13,1,129,4420.81
6,10,13,1,133,4668.41
6,9,12,13,114,4342.92
6,9,12,1,119,3230.62
6,8,14,1,127,4263.62
6,7,16,1,130,-1
6,1,11,47,174,4253.86
4,5,14,46,148,-1
7,2,11,23,147,-1
5,3,12,43,158,3372.85
7,2,12,56,178,4615.82
7,5,11,27,144,-1
6,3,12,34,151,4556.48
7,5,11,22,139,-1
5,1,11,102,285,4401.54
7,1,11,51,182,4359.41
9,4,11,24,5,4448.7
9,5,11,31,14,3886.14
8,7,12,38,47,3923.18
9,6,11,36,22,4335.59
8,6,12,29,48,4302.69
8,7,12,35,51,-1
8,7,13,32,54,-1
7,7,14,29,70,2254.56
8,7,11,36,34,4388.71
8,7,12,34,48,-1
10,10,11,102,49,3883.84
8,10,11,32,30,4676.79
6,10,11,1,51,3955.82
7,10,11,1,56,4210.05
5,8,12,1,52,4301.67
5,7,13,1,47,-1
7,10,11,1,57,4332.03
5,6,13,1,48,4134.52
5,7,13,1,50,4356.48
6,7,13,1,44,4289.6
7,4,16,139,64,4265.48
7,4,16,146,68,4332.67
7,6,15,89,50,4318
7,1,18,599,212,4308.03
7,5,16,121,57,-1
7,5,16,113,56,4222.64
7,6,15,70,43,3848.3
7,7,15,63,39,3890.69
7,4,16,145,68,4208.15
7,5,16,130,61,4295.84
8,6,13,28,47,4236.57
7,5,13,28,59,-1
8,6,13,29,48,4125.3
7,6,13,28,36,-1
8,6,13,33,37,2498.7
8,6,14,31,32,4423.02
8,6,14,32,32,3570.01
8,6,13,30,41,4453.71
8,5,13,27,65,3773.16
7,6,13,27,47,-1
10,10,11,1,50,3860.18
1,1,20,603,431,3876.22
9,10,12,18,67,4418.26
10,10,11,2,57,3972.84
10,10,11,1,15,3800.58
10,10,11,1,40,3828.22
9,10,12,18,67,4275.3
10,10,11,1,0,-1
10,7,14,31,35,3952.51
10,7,14,35,33,-1
9,7,13,21,48,4275.57
9,8,13,16,64,3582.74
10,7,13,23,49,4232.61
10,7,14,29,55,-1
10,7,14,29,57,4382.74
10,7,14,26,46,4281.64
8,8,13,14,45,-1
9,8,13,17,61,4142.57
10,10,11,1,109,4368.56
10,10,11,1,157,4297.58
10,10,11,12,106,4393.82
10,10,11,35,53,4012.44
10,8,11,31,43,3836.92
10,10,11,18,56,3945.29
1,1,20,1000,0,4013.37
10,10,11,1,49,4411.29
10,10,11,1,101,3963.95
10,10,11,15,99,4348.01
1,10,11,581,619,4288.27
8,1,18,1,0,-1
10,1,15,1,0,3592
9,4,14,1,0,4368.1
9,1,15,1,0,-1
8,4,15,1,17,3563.8
8,1,17,1,0,-1
9,3,15,1,0,4367.3
8,4,15,1,9,-1
8,6,13,18,38,4289.86
8,6,13,9,28,3981.26
10,5,13,2,0,3913.86
8,5,14,1,36,3767.88
9,9,12,54,46,-1
9,6,13,11,26,3983.19
9,4,14,1,1,-1
9,3,15,1,0,4346.27
9,6,13,12,24,4449
10,3,14,1,0,3662.48
6,3,16,66,77,4400.7
6,3,17,67,74,-1
6,1,20,99,68,4280.61
5,4,16,511,454,4284.15
5,3,16,486,468,4274.44
5,3,16,501,459,4225.36
5,2,17,417,508,4437.99
6,4,16,519,448,4299.71
5,3,16,469,478,-1
5,3,16,469,478,4282.59
5,3,16,488,467,-1
5,3,16,483,470,4306.55
5,3,16,474,475,-1
1,1,11,1,1000,4364.12
10,7,20,268,0,3989.93
3,5,13,1,239,-1
1,4,11,1,358,3936.65
1,2,11,1,412,4036.17
1,2,12,1,301,3900.68
10,10,20,316,0,-1
1,1,11,1,732,4304.05
1,2,11,1,441,4323.64
1,2,12,1,240,4371.3
10,1,20,233,248,4272.59
5,1,19,114,74,4606.59
10,1,20,135,172,-1
8,1,20,132,120,4273.44
9,1,19,133,193,-1
9,1,19,130,254,-1
9,1,19,126,138,3910.45
9,1,20,290,492,4308.23
10,1,20,1000,1000,-1
10,1,20,244,272,4375.8
5,10,20,1,0,-1
8,1,11,265,191,4252.44
6,1,11,87,241,-1
6,1,11,131,197,-1
8,1,11,148,233,4609.55
6,10,20,1,0,4294.84
7,2,11,85,190,4384.83
10,1,11,141,179,4322.07
9,1,11,194,160,-1
4,6,19,47,50,4259.66
4,6,19,48,50,4320.86
4,5,18,46,49,3617.01
4,7,15,70,58,4151.23
4,6,17,54,53,3802.53
4,6,17,58,54,4330.03
3,8,19,68,57,4265.5
3,9,19,75,59,3903.67
2,10,19,98,67,4408.61
4,7,18,61,55,3855.95
1,3,19,143,20,4399.33
1,3,16,112,54,3906.98
1,4,15,93,72,-1
2,3,14,98,72,4267.12
2,4,15,86,80,4388.41
1,6,19,90,64,4413.69
1,4,16,105,61,-1
3,4,15,81,85,3726.7
2,5,16,86,78,-1
2,4,16,88,76,4257.63
5,2,19,10,153,3563.57
6,2,18,21,137,-1
6,4,17,40,107,3657.2
6,3,17,33,117,3168.98
6,1,18,8,155,-1
5,1,18,13,152,4300.39
5,4,19,22,136,4368.24
5,2,18,18,142,4023.94
6,2,17,31,121,-1
6,3,17,35,115,-1
2,10,20,1,13,4319.36
3,9,19,1,35,4385.38
3,8,19,5,24,3623.74
3,10,20,1,51,4273.32
3,9,19,1,37,3913.02
4,9,19,1,57,4455.18
4,8,19,1,46,3987.52
3,10,20,1,52,-1
1,10,20,1,1,4467.1
3,10,20,1,44,3951.64
3,10,19,1,162,3614.25
3,10,12,1,96,4349.12
4,10,20,1,37,4376.66
1,10,20,1,0,4146.91
1,10,20,1,273,1780.77
5,7,17,1,51,-1
5,10,12,1,171,-1
1,10,11,1,187,4543.49
4,8,14,1,60,-1
2,10,16,1,40,4388.7
4,6,18,40,37,4319.52
4,6,18,39,37,4234.23
5,6,17,53,34,-1
3,8,20,18,48,4222.89
2,9,20,16,63,4396.09
2,9,20,24,62,-1
4,6,18,40,38,4043.33
3,8,20,24,51,3581.25
1,10,20,1,74,3908.98
7,10,20,76,151,4394.21
7,10,20,62,132,4279.67
6,10,20,78,146,4264.96
6,10,20,42,123,-1
6,10,17,29,76,4418.17
6,10,18,37,100,3951.7
6,10,20,40,135,-1
5,10,20,62,125,3945.75
6,9,18,27,89,4308.91
3,10,20,39,132,4351.61
8,10,20,1,315,3618.6
7,10,20,1,269,3870.59
6,8,20,1,143,-1
7,7,20,1,208,-1
8,6,20,1,161,4396.47
6,10,20,1,158,4459.66
10,10,20,1,1000,-1
9,10,20,1,318,4332.67
1,1,11,1000,0,-1
7,8,20,1,136,-1
6,2,18,16,79,4367.42
6,3,19,19,76,4256.14
7,10,11,1000,0,4281.61
6,10,11,761,0,4348.58
1,1,20,1,1000,-1
6,10,11,854,0,4416.74
6,10,11,858,0,4242.29
8,10,11,1000,0,4366.24
5,1,20,1,1000,-1
4,1,20,1,1000,4335.63
8,10,11,1000,0,-1
2,1,20,1,1000,3878.39
7,8,13,5,56,4227.17
8,8,13,1,47,3968.58
7,7,14,30,65,-1
7,7,14,29,66,3882.58
8,7,15,27,62,-1
8,8,14,1,48,-1
8,8,13,2,53,4262.97
8,8,14,1,50,-1
8,7,14,13,57,4252.74
8,7,15,11,54,-1
5,4,20,79,10,4259.99
1,1,20,371,0,4258.11
1,1,20,151,0,4413.92
4,4,19,37,26,-1
10,10,11,1,1000,-1
2,1,20,35,0,4038.05
1,1,20,150,0,4287.51
5,4,20,101,4,-1
2,1,20,119,0,-1
3,3,20,85,0,-1
7,5,16,20,42,3949.84
7,5,15,15,39,3823.43
7,5,15,8,29,-1
8,7,11,39,57,4378.91
8,7,11,27,55,-1
7,5,15,13,32,4314.65
7,5,14,17,40,3969.23
7,6,13,23,55,4321.08
3,1,20,1,0,-1
7,5,14,14,36,4545.89
1,10,11,1,340,3612.45
1,10,11,1,230,-1
1,10,11,1,1000,4286.08
1,10,11,1,434,-1
1,10,11,1,643,2363.09
2,9,11,3,192,3905.18
2,10,11,1,218,3625.65
3,9,11,1,184,4308.98
3,8,11,1,159,4235.8
1,10,11,1,332,4007.57
7,10,20,149,0,4235.27
7,9,19,112,0,-1
7,7,18,42,0,4291.51
7,8,18,73,0,3922.61
8,10,20,201,0,-1
7,10,20,175,0,3970.96
6,8,19,82,0,4264.47
7,10,20,150,0,4340.99
7,8,18,90,0,3544.1
7,8,19,76,0,-1
4,4,17,1,34,4364.98
4,4,18,1,34,4371.39
6,5,17,1,41,3876.2
3,4,18,1,30,2953.32
5,4,17,1,34,4248.6
6,4,15,1,29,-1
4,4,18,1,35,4371.63
10,5,13,9,41,3867.13
5,5,18,1,43,4304.14
6,10,11,18,0,4346.15
6,10,14,16,0,3610.15
6,10,11,22,0,4364.13
6,10,15,15,0,4278.69
7,10,15,13,0,4306.87
7,10,13,15,0,4293.39
7,9,16,11,0,3991.87
7,10,15,12,0,3921.69
6,10,14,15,0,3693.18
6,4,15,17,0,4290
5,3,16,39,0,-1
6,5,16,37,13,3893.91
6,4,16,37,0,-1
2,1,16,72,0,4393.19
5,4,16,35,0,4356.73
6,4,16,36,0,-1
7,5,16,32,27,4297.15
6,4,16,30,8,-1
6,4,16,38,0,-1
4,7,13,49,46,4272.24
4,8,12,37,75,4286.85
4,7,12,39,62,4305.58
4,6,14,59,23,-1
4,9,13,47,78,-1
4,8,12,45,69,3894.94
4,7,13,42,43,-1
4,7,13,38,48,3586.25
3,10,11,21,152,4307.9
4,8,12,37,67,4208.75
6,9,15,95,8,4334.48
6,9,16,96,0,3601.43
5,10,14,154,2,-1
7,10,14,97,21,4610.8
6,10,14,121,5,-1
6,10,13,140,9,4540.01
6,10,14,134,17,3655.76
6,10,13,151,14,-1
6,9,15,91,12,4368.1
7,10,13,114,29,4313.15
1,1,11,32,13,4297.32
10,10,20,65,44,4307.64
10,10,20,82,114,3915.58
2,2,11,38,21,4220.81
1,4,11,33,17,4303.22
1,1,11,18,0,4216.97
10,10,20,46,42,4145.4
10,10,20,50,39,4485.02
1,1,11,1,0,4387.86
8,10,12,84,21,4282.63
10,10,14,82,22,-1
9,10,11,155,20,4273.54
9,10,12,86,21,-1
9,10,16,45,22,4307.37
9,10,12,92,21,3876.69
10,10,16,52,22,4332.04
8,10,15,45,22,-1
6,10,12,66,21,4486.98
10,10,12,108,21,3712.23
5,7,15,30,25,3569.64
4,8,14,35,25,-1
5,7,15,35,26,4326.53
8,6,18,44,27,4287.43
5,7,15,33,26,3568.32
6,7,16,38,26,3900.17
5,9,15,33,25,-1
4,8,15,35,25,-1
5,8,15,33,26,4576.28
5,8,15,34,25,-1
6,10,11,38,18,4322.88
10,7,20,1,46,4231.89
10,10,20,1,83,-1
10,10,20,27,31,-1
8,3,20,30,32,3015.89
9,6,20,25,31,4336.92
8,6,20,29,30,4410.8
9,5,20,18,31,4268.74
