StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
10.0,9.0,12.0,313.0,905.0,4362.73
1.0,5.0,19.0,57.0,138.0,4406.85
6.0,2.0,13.0,923.0,576.0,3128.89
4.0,7.0,11.0,518.0,910.0,3884.86
2.0,6.0,14.0,349.0,47.0,4341.49
6.0,10.0,20.0,637.0,184.0,4282.36
10.0,7.0,12.0,283.0,17.0,4082.07
4.0,8.0,16.0,634.0,139.0,4513.93
9.0,3.0,14.0,200.0,863.0,4387.06
2.0,3.0,19.0,257.0,688.0,4319.73
4.0,4.0,17.0,732.0,740.0,4527.78
1.0,6.0,11.0,740.0,578.0,3790.79
5.0,1.0,18.0,358.0,739.0,4392.94
10.0,1.0,20.0,179.0,568.0,4347.75
1.0,6.0,14.0,536.0,509.0,4380.32
4.0,1.0,18.0,561.0,543.0,4256.43
4.0,2.0,14.0,702.0,50.0,3586.37
6.0,10.0,11.0,392.0,756.0,4429.25
8.0,7.0,20.0,568.0,590.0,3593.07
6.0,1.0,19.0,668.0,14.0,4277.18
6.0,7.0,12.0,637.0,263.0,3915.57
9.0,4.0,15.0,939.0,473.0,4558.47
2.0,3.0,11.0,863.0,733.0,3906.83
4.0,8.0,20.0,607.0,42.0,4338.88
8.0,2.0,14.0,882.0,525.0,4382.41
8.0,9.0,18.0,996.0,857.0,4343.47
9.0,9.0,12.0,258.0,640.0,3852.29
5.0,3.0,20.0,868.0,654.0,4273.3
3.0,4.0,20.0,582.0,757.0,4359.91
10.0,9.0,11.0,595.0,776.0,3889.85
10.0,10.0,20.0,673.0,237.0,4284.71
1.0,2.0,18.0,364.0,301.0,4552.67
9.0,8.0,11.0,12.0,618.0,4004.33
1.0,10.0,11.0,11.0,173.0,4246.69
7.0,1.0,20.0,236.0,773.0,3791.47
1.0,1.0,18.0,63.0,815.0,4332.57
5.0,6.0,19.0,340.0,999.0,4339.68
9.0,3.0,11.0,280.0,140.0,4339.72
2.0,9.0,15.0,264.0,317.0,4484.47
3.0,5.0,19.0,599.0,873.0,4386.78
9.0,4.0,16.0,448.0,125.0,4425.39
9.0,2.0,13.0,414.0,609.0,4269.34
8.0,9.0,18.0,754.0,907.0,4326.85
7.0,3.0,11.0,254.0,496.0,4802.99
10.0,1.0,16.0,950.0,624.0,4347.29
6.0,1.0,16.0,869.0,108.0,3682.18
3.0,2.0,16.0,150.0,876.0,4084.22
1.0,8.0,19.0,551.0,604.0,3966.43
7.0,5.0,19.0,34.0,787.0,3579.86
2.0,3.0,16.0,281.0,584.0,4416.58
10.0,7.0,20.0,944.0,11.0,4466.38
4.0,10.0,19.0,511.0,355.0,3837.59
7.0,1.0,13.0,347.0,762.0,3905.92
7.0,2.0,16.0,373.0,669.0,4386.93
1.0,2.0,15.0,566.0,301.0,3889.86
3.0,3.0,20.0,251.0,418.0,4311.03
9.0,6.0,11.0,357.0,519.0,4258.35
2.0,7.0,14.0,849.0,351.0,4311.8
7.0,9.0,20.0,606.0,750.0,4000.99
9.0,10.0,13.0,318.0,794.0,4360.11
8.0,10.0,18.0,113.0,670.0,3951.58
2.0,3.0,12.0,44.0,267.0,3787.52
1.0,8.0,18.0,496.0,648.0,4150.67
1.0,1.0,14.0,390.0,397.0,4538.25
10.0,10.0,12.0,831.0,935.0,3681.88
10.0,4.0,15.0,279.0,657.0,4387.39
10.0,1.0,20.0,599.0,908.0,4228.13
4.0,8.0,16.0,853.0,360.0,4266.95
1.0,3.0,12.0,999.0,686.0,3992.69
6.0,6.0,14.0,535.0,254.0,4017.55
10.0,3.0,20.0,56.0,569.0,4283.62
6.0,4.0,11.0,268.0,696.0,4507.21
2.0,7.0,17.0,212.0,944.0,4446.84
1.0,3.0,11.0,695.0,488.0,4365.45
2.0,1.0,18.0,365.0,595.0,4415.96
1.0,4.0,14.0,983.0,68.0,4007.69
7.0,7.0,20.0,1000.0,911.0,2413.04
8.0,1.0,18.0,372.0,672.0,4488.77
7.0,10.0,12.0,229.0,546.0,3694.97
5.0,5.0,14.0,667.0,457.0,4291.42
4.0,10.0,20.0,653.0,839.0,4525.18
10.0,3.0,15.0,158.0,404.0,3923.46
6.0,2.0,12.0,375.0,339.0,3885.73
1.0,9.0,17.0,358.0,404.0,4288.21
3.0,6.0,19.0,977.0,943.0,4142.58
9.0,10.0,18.0,133.0,954.0,3051.42
7.0,7.0,12.0,454.0,670.0,4514.17
4.0,7.0,18.0,394.0,132.0,4408.17
2.0,1.0,15.0,417.0,429.0,4365.15
9.0,9.0,17.0,344.0,161.0,4334.46
3.0,3.0,13.0,37.0,969.0,3876.87
9.0,8.0,16.0,404.0,148.0,4006.7
8.0,1.0,17.0,388.0,142.0,3613.34
9.0,3.0,20.0,238.0,626.0,4300.41
1.0,3.0,11.0,493.0,881.0,3930.89
4.0,9.0,14.0,68.0,727.0,4363.28
10.0,7.0,15.0,268.0,448.0,4325.44
6.0,1.0,13.0,440.0,972.0,4353.2
5.0,8.0,17.0,529.0,159.0,4511.9
10.0,8.0,13.0,132.0,277.0,3933.21
9.0,5.0,20.0,430.0,667.0,3613.17
4.0,9.0,20.0,164.0,529.0,3686.27
1.0,8.0,17.0,249.0,607.0,4342.4
3.0,6.0,13.0,338.0,500.0,4325.8
1.0,3.0,17.0,468.0,118.0,3943.55
3.0,2.0,11.0,984.0,582.0,4385.99
4.0,2.0,15.0,446.0,221.0,3627.76
3.0,5.0,11.0,799.0,662.0,4283.65
8.0,1.0,20.0,458.0,768.0,3882.75
2.0,10.0,20.0,941.0,216.0,4334.84
8.0,8.0,17.0,253.0,283.0,3892.45
3.0,5.0,15.0,381.0,440.0,4288.58
3.0,4.0,18.0,760.0,997.0,4462.68
4.0,1.0,13.0,712.0,757.0,3844.45
8.0,1.0,20.0,338.0,205.0,4325.08
5.0,7.0,13.0,725.0,800.0,4160.03
4.0,9.0,16.0,287.0,473.0,3658.15
3.0,8.0,19.0,296.0,368.0,4273.64
2.0,3.0,16.0,451.0,175.0,3942.08
6.0,4.0,15.0,197.0,601.0,3879.15
6.0,2.0,18.0,485.0,798.0,4344.49
4.0,10.0,14.0,618.0,197.0,3821.09
4.0,3.0,17.0,270.0,901.0,4387.35
7.0,9.0,20.0,824.0,88.0,4401.03
3.0,8.0,11.0,468.0,612.0,4318.57
2.0,4.0,19.0,138.0,491.0,4361.47
7.0,1.0,15.0,702.0,234.0,4042.75
3.0,9.0,15.0,813.0,187.0,4359.6
2.0,10.0,12.0,250.0,954.0,3698.34
8.0,5.0,14.0,475.0,69.0,4254.74
8.0,3.0,12.0,532.0,742.0,4212.03
5.0,3.0,14.0,674.0,219.0,4449.93
1.0,9.0,18.0,393.0,624.0,4542.75
2.0,7.0,12.0,873.0,434.0,4386.61
6.0,9.0,17.0,473.0,140.0,4348.01
10.0,7.0,12.0,497.0,849.0,4416.95
5.0,2.0,15.0,632.0,1.0,4276.73
2.0,9.0,16.0,76.0,890.0,4317.22
7.0,3.0,11.0,693.0,426.0,4201.81
3.0,5.0,20.0,930.0,679.0,4368.5
5.0,9.0,20.0,145.0,956.0,4298.92
8.0,6.0,19.0,620.0,677.0,3776.62
2.0,4.0,19.0,221.0,171.0,3928.15
6.0,5.0,12.0,158.0,727.0,3927.76
6.0,2.0,16.0,593.0,911.0,3649.85
8.0,4.0,20.0,587.0,612.0,4290.06
5.0,1.0,12.0,864.0,643.0,4188.35
8.0,1.0,16.0,421.0,72.0,3550.18
1.0,9.0,19.0,593.0,434.0,3868.06
6.0,10.0,16.0,859.0,923.0,4017.19
7.0,10.0,17.0,543.0,706.0,4419.73
5.0,3.0,17.0,323.0,553.0,4542.89
4.0,2.0,19.0,813.0,337.0,3988.23
3.0,9.0,16.0,941.0,131.0,4369.86
1.0,5.0,20.0,624.0,926.0,4347.87
9.0,10.0,17.0,292.0,353.0,4236.99
2.0,4.0,13.0,452.0,60.0,4303.26
8.0,10.0,16.0,967.0,65.0,3938.86
5.0,6.0,15.0,852.0,944.0,3682.66
3.0,8.0,20.0,793.0,689.0,4261.6
5.0,9.0,12.0,761.0,153.0,3921.63
8.0,5.0,15.0,243.0,585.0,4571.03
3.0,8.0,11.0,980.0,276.0,4357.83
9.0,3.0,16.0,480.0,533.0,4300.65
8.0,8.0,15.0,832.0,744.0,4266.39
8.0,9.0,16.0,438.0,718.0,4364.02
8.0,10.0,17.0,420.0,784.0,4352.97
1.0,8.0,17.0,711.0,713.0,3875.57
6.0,1.0,17.0,139.0,319.0,3595.89
1.0,9.0,12.0,527.0,252.0,4313.26
4.0,10.0,16.0,974.0,639.0,4329.17
1.0,3.0,13.0,65.0,348.0,4325.97
4.0,5.0,17.0,586.0,371.0,4239.73
4.0,7.0,18.0,871.0,246.0,3768.02
4.0,4.0,18.0,478.0,400.0,4351.71
6.0,10.0,12.0,254.0,78.0,3863.12
9.0,3.0,20.0,681.0,27.0,4422.0
7.0,3.0,17.0,854.0,763.0,4314.0
5.0,8.0,15.0,82.0,108.0,4358.36
3.0,6.0,16.0,686.0,782.0,4435.75
9.0,9.0,14.0,573.0,574.0,4424.01
9.0,2.0,18.0,191.0,617.0,3943.85
6.0,1.0,19.0,517.0,848.0,4298.49
10.0,1.0,13.0,215.0,550.0,4258.54
4.0,1.0,19.0,864.0,749.0,4286.99
8.0,3.0,17.0,656.0,750.0,4395.36
6.0,6.0,18.0,416.0,80.0,4320.29
7.0,5.0,17.0,908.0,983.0,4161.78
10.0,6.0,18.0,965.0,209.0,4214.01
4.0,4.0,17.0,96.0,223.0,4277.62
1.0,4.0,16.0,24.0,265.0,4442.44
1.0,3.0,18.0,66.0,262.0,4513.72
1.0,1.0,19.0,452.0,356.0,3875.85
8.0,8.0,18.0,212.0,18.0,4298.92
1.0,6.0,12.0,629.0,554.0,4306.7
6.0,7.0,12.0,364.0,310.0,3897.93
4.0,9.0,14.0,732.0,780.0,3983.08
5.0,2.0,17.0,489.0,328.0,4223.51
4.0,10.0,19.0,604.0,623.0,4295.56
4.0,4.0,18.0,923.0,979.0,3994.62
