StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
2.0,7.0,13.0,93.0,127.0,4417.49609375
2.0,5.0,14.0,75.0,99.0,-1.0
2.0,5.0,15.0,75.0,92.0,-1.0
2.0,7.0,13.0,89.0,122.0,4426.1845703125
2.0,8.0,14.0,101.0,117.0,4475.724609375
2.0,5.0,14.0,72.0,95.0,-1.0
2.0,6.0,14.0,83.0,106.0,4459.328125
2.0,6.0,14.0,78.0,103.0,4463.814453125
2.0,6.0,14.0,78.0,108.0,4454.2783203125
2.0,5.0,15.0,75.0,96.0,-1.0
2.0,5.0,13.0,85.0,113.0,-1.0
3.0,5.0,15.0,86.0,111.0,-1.0
3.0,5.0,14.0,84.0,113.0,-1.0
3.0,4.0,14.0,85.0,118.0,-1.0
2.0,6.0,14.0,82.0,114.0,4443.8046875
3.0,5.0,14.0,85.0,111.0,-1.0
3.0,4.0,15.0,89.0,112.0,-1.0
2.0,5.0,14.0,84.0,113.0,-1.0
3.0,4.0,14.0,88.0,114.0,-1.0
3.0,5.0,14.0,83.0,113.0,-1.0
2.0,7.0,14.0,86.0,109.0,4471.703125
2.0,7.0,14.0,84.0,108.0,4473.1767578125
2.0,7.0,14.0,85.0,109.0,4471.48828125
2.0,7.0,14.0,83.0,109.0,4471.0576171875
2.0,7.0,14.0,82.0,107.0,4474.650390625
2.0,7.0,14.0,81.0,106.0,4476.3388671875
2.0,6.0,14.0,79.0,106.0,4458.33984375
2.0,6.0,14.0,85.0,109.0,4454.1005859375
2.0,7.0,13.0,82.0,102.0,4462.8984375
2.0,7.0,13.0,81.0,101.0,4464.58837890625
2.0,6.0,13.0,80.0,99.0,4451.5576171875
2.0,7.0,13.0,83.0,105.0,4457.3798828125
2.0,7.0,13.0,84.0,106.0,4455.68408203125
2.0,7.0,13.0,84.0,105.0,4457.595703125
2.0,7.0,13.0,83.0,103.0,4461.20263671875
2.0,6.0,13.0,79.0,99.0,4451.330078125
2.0,6.0,13.0,83.0,102.0,4446.521484375
2.0,7.0,13.0,87.0,108.0,4452.5087890625
2.0,7.0,13.0,72.0,101.0,4462.650390625
2.0,7.0,13.0,72.0,102.0,4460.7392578125
2.0,7.0,13.0,72.0,100.0,4464.55615234375
2.0,7.0,14.0,78.0,114.0,4460.46484375
2.0,7.0,14.0,74.0,114.0,4459.58984375
2.0,7.0,14.0,72.0,114.0,4459.1171875
2.0,7.0,14.0,73.0,120.0,4447.8095703125
2.0,7.0,14.0,76.0,115.0,4458.123046875
2.0,7.0,15.0,78.0,112.0,4485.279296875
2.0,7.0,15.0,77.0,114.0,4481.2109375
2.0,7.0,13.0,72.0,119.0,4428.248046875
2.0,7.0,13.0,74.0,119.0,4428.6787109375
2.0,7.0,14.0,71.0,112.0,4462.71875
2.0,6.0,15.0,85.0,113.0,4466.0859375
2.0,6.0,14.0,81.0,116.0,4439.7255859375
2.0,6.0,14.0,86.0,107.0,4458.16259765625
2.0,6.0,14.0,83.0,114.0,4444.0537109375
2.0,6.0,15.0,92.0,117.0,4460.0927734375
2.0,6.0,14.0,89.0,110.0,4453.18212890625
2.0,7.0,13.0,87.0,113.0,4442.95068359375
2.0,6.0,14.0,87.0,111.0,4450.7802734375
2.0,6.0,13.0,82.0,107.0,4436.7568359375
2.0,6.0,14.0,86.0,115.0,4442.8837890625
2.0,7.0,14.0,76.0,108.0,4471.4560546875
2.0,7.0,13.0,80.0,115.0,4437.615234375
2.0,7.0,15.0,77.0,105.0,4498.705078125
2.0,7.0,15.0,75.0,106.0,4496.2236328125
2.0,7.0,14.0,81.0,112.0,4464.9169921875
2.0,7.0,14.0,77.0,108.0,4471.6708984375
2.0,7.0,14.0,79.0,113.0,4462.583984375
2.0,7.0,14.0,78.0,110.0,4468.07958984375
2.0,7.0,14.0,79.0,110.0,4468.29443359375
