write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
165491.0,122978.0,7949.0,6961.0,415.0,0.52954791644134,652.0,7211.0,9777.0,13.0,8524.0,3645.0,53.0,35798.0,198509.0,627.0,5065.0,739.0,14053.0,2038.0,16.0,23315.0,8687.0,21969.0,2959.0,35320.0,6880.0,9096.0,-1.0
231745.0,178993.0,11147.0,5219.0,1638.0,0.9317399640630004,12935.0,6298.0,11413.0,14.0,1708.0,181.0,6.0,51835.0,41883.0,502.0,69929.0,1089.0,25363.0,16266.0,9.0,12145.0,19146.0,10994.0,1544.0,225053.0,5785.0,5630.0,-1.0
92755.0,132342.0,9027.0,3435.0,35.0,0.20899506105984256,11769.0,2074.0,7034.0,7.0,3202.0,665.0,25.0,43898.0,8815.0,118.0,16827.0,996.0,3643.0,658.0,13.0,10785.0,17852.0,2796.0,2157.0,100358.0,310.0,14489.0,-1.0
54743.0,23585.0,7223.0,2554.0,1271.0,0.3463590883663883,1946.0,756.0,10983.0,9.0,11834.0,1779.0,56.0,76675.0,63993.0,273.0,81467.0,1269.0,20726.0,2433.0,19.0,24262.0,15173.0,1685.0,1131.0,24452.0,1445.0,741.0,-1.0
13504.0,163584.0,13524.0,3090.0,1971.0,0.4768778930603198,12073.0,13211.0,14116.0,2.0,4626.0,2314.0,56.0,23951.0,74771.0,851.0,11471.0,798.0,20093.0,17033.0,26.0,5191.0,18729.0,18774.0,3347.0,139227.0,7395.0,5569.0,-1.0
103692.0,57366.0,11736.0,7261.0,567.0,0.16974314679987923,10837.0,8726.0,10731.0,12.0,7347.0,601.0,43.0,7887.0,117798.0,760.0,67734.0,222.0,14279.0,21107.0,18.0,22084.0,21921.0,12127.0,3516.0,183748.0,2736.0,5677.0,-1.0
18032.0,99845.0,14344.0,1664.0,1164.0,0.1101319003874569,1305.0,9351.0,3800.0,3.0,2357.0,2456.0,35.0,5088.0,59021.0,967.0,22012.0,1138.0,25214.0,19550.0,17.0,19927.0,13798.0,6002.0,1536.0,21623.0,6621.0,1865.0,-1.0
6018.0,241604.0,3149.0,13409.0,201.0,0.4652346998388167,3419.0,11946.0,9327.0,18.0,11440.0,3315.0,22.0,151649.0,112507.0,119.0,83538.0,1201.0,48899.0,5229.0,16.0,12140.0,18445.0,3407.0,2000.0,122166.0,665.0,8379.0,1276.8121337890625
183834.0,105724.0,9796.0,9127.0,457.0,0.35054610548888776,14936.0,4833.0,6604.0,4.0,3330.0,644.0,55.0,182192.0,218930.0,986.0,61216.0,1864.0,32172.0,10526.0,26.0,22674.0,23785.0,12930.0,3176.0,102931.0,7978.0,13820.0,-1.0
73025.0,233550.0,2931.0,1528.0,1470.0,0.2942974008882182,7839.0,9208.0,848.0,21.0,4197.0,1654.0,21.0,186089.0,187204.0,294.0,10340.0,620.0,24702.0,2031.0,5.0,19305.0,17780.0,24447.0,3743.0,219283.0,3043.0,2587.0,-1.0
77998.0,115799.0,7983.0,8176.0,747.0,0.8526939547687973,4349.0,6674.0,13330.0,22.0,4517.0,937.0,48.0,4692.0,34606.0,535.0,53585.0,357.0,3076.0,5178.0,22.0,12177.0,24500.0,19981.0,3742.0,10710.0,1561.0,395.0,-1.0
108100.0,84580.0,958.0,8235.0,217.0,0.31161519335002985,3783.0,11552.0,6418.0,8.0,736.0,1643.0,38.0,169521.0,228312.0,810.0,24741.0,298.0,45514.0,19758.0,15.0,20943.0,14199.0,8142.0,1512.0,6227.0,5180.0,13475.0,1226.619873046875
226542.0,116882.0,10049.0,13936.0,1653.0,0.6026477628591912,6274.0,7469.0,2769.0,6.0,10282.0,3770.0,33.0,103338.0,89271.0,460.0,80295.0,922.0,57558.0,3967.0,10.0,13527.0,10826.0,21514.0,3325.0,232968.0,4938.0,652.0,-1.0
143635.0,137446.0,7416.0,4269.0,1444.0,0.9116238450083326,1626.0,9632.0,5726.0,15.0,13443.0,3650.0,39.0,50542.0,230335.0,189.0,38333.0,1661.0,19015.0,6845.0,26.0,23651.0,8549.0,10785.0,1823.0,34615.0,2076.0,14706.0,1226.976318359375
