write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
132946,61791,2334,7126,30,1,4249,2055,250,2,6537,1260,60,2200,2000,10,2029,337,64,100,10,17009,22796,1600,1198,2000,276,948,1256.59713496
61396,26721,1160,3772,30,0.9222682053468838,2653,1936,250,7,3089,568,60,2200,2000,10,4211,152,913,202,9,6810,9866,1600,1377,2000,407,797,1214.4765606
35081,20991,1017,3050,30,0.8038919516027025,2133,1045,250,12,1399,364,48,3545,2000,10,4497,113,3895,527,14,4056,5666,1600,1278,2000,425,509,1279.26314443
59258,37503,1146,3648,30,0.7774730163918036,2616,1235,250,5,2420,579,60,2200,2000,10,3916,175,2889,100,11,6055,10162,1600,1373,2000,359,686,1265.50240445
47858,29637,1164,3544,30,0.7800658278767537,2368,998,250,9,1914,488,60,2200,2000,10,4080,151,2607,179,14,5350,8030,1600,1280,2000,389,550,1234.56790123
28663,27043,200,1052,89,1,1945,10,1659,2,555,312,14,15250,11457,10,9286,31,441,100,12,1000,1282,3713,1048,10302,309,200,1275.67291746
54995,41569,200,1351,124,1,4598,10,1185,2,390,316,26,24650,12832,10,10535,31,7332,100,27,1000,1156,3864,1048,18378,100,200,1198.89701475
20,20,15000,100,90,0,100,14400,549,28,1648,20,60,3326,16765,1000,5,1776,3515,15176,7,25000,900,1600,3800,2000,1082,12779,1269.68004063
39209,47627,200,1212,105,1,1656,10,346,2,414,295,16,2200,7664,10,6715,31,3361,100,13,1000,1451,4364,1048,15928,307,200,1249.68757811
34337,30770,200,1101,88,1,2247,10,1757,2,521,325,11,16808,11442,10,10019,31,308,100,12,1000,1330,3970,1048,11151,275,200,1255.33517449
4281,5018,200,1015,84,0.5318424574369602,358,1514,1012,20,639,186,43,2200,11466,514,6406,71,925,100,26,1000,2149,2890,1220,7016,421,233,1265.50240445
5494,3259,200,1009,85,0.5295352654765829,517,1414,1268,19,622,167,45,2200,11029,434,6358,93,1230,100,26,1072,1970,2926,1239,7874,433,200,1222.04570451
1867,3002,200,1174,59,0.3338043549629591,783,1811,1124,23,589,167,56,2200,12118,575,4965,139,64,100,28,1000,1939,3295,1077,8159,420,370,1255.49278092
3706,4565,200,1055,77,0.48059800591112545,462,1591,1039,21,626,181,46,2200,11609,534,6071,87,136,100,28,1000,2095,3002,1179,7324,418,266,1252.50501002
5154,2976,200,1031,81,0.5028444590705532,572,1454,1281,19,615,165,47,2200,11129,442,6147,103,801,100,28,1000,1943,2978,1220,8011,433,200,1265.02213789
4556,3241,479,1064,54,0.49800255360481777,611,1464,250,20,701,299,47,9444,15113,422,4025,81,2700,100,28,1000,2126,1690,1489,9858,366,1160,1262.78570527
