write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
39398,5854,200,2066,215,0.013035410413490017,1947,10,851,17,2328,20,28,37312,3266,164,5,141,12608,100,23,1000,2396,1600,1084,8301,860,2251,1277.95527157
250000,7752,200,4287,575,0.19117049519321605,3131,342,7439,28,5939,20,60,179179,2000,973,5,120,29528,100,28,1000,2871,1600,1048,62331,1652,5686,1271.13257913
7409,20,200,2424,166,0,2702,10,250,19,2831,20,10,30019,3346,37,5,138,15859,899,21,1000,2310,1600,1218,2000,885,2439,1273.88535032
49401,1790,200,2454,212,0,2116,10,1178,18,2412,20,31,38128,2000,172,5,139,16548,100,25,1000,2382,1600,1092,2000,1103,2453,1219.51219512
32125,13489,200,1883,193,0.12058525677790556,1308,10,891,14,1391,20,33,20826,2000,149,917,145,12020,100,19,1000,2373,1600,1079,2000,1019,1769,1269.19659855
68332,7698,200,2051,269,0.028555977147150635,2112,242,1381,20,2949,20,34,58694,5687,263,1251,139,11419,100,27,1000,2475,1600,1048,25028,705,2629,1251.40783381
38732,20,200,2371,224,0,2806,10,604,21,3416,20,18,52085,5834,146,5,136,14310,100,26,1000,2397,1600,1125,10610,721,2801,1237.62376238
68337,12304,200,2051,254,0.10521117122656634,1685,145,1571,17,2288,20,40,47523,2969,261,1581,142,12345,100,25,1000,2456,1600,1048,17192,910,2353,1253.28988595
41901,4797,200,2098,220,0,2046,10,875,18,2488,20,27,40594,3704,171,5,141,12708,100,23,1000,2403,1600,1081,9875,836,2339,1285.84287
38327,14609,200,1874,203,0.1352230468393032,1282,10,1030,14,1433,20,35,23925,2000,170,1510,145,11830,100,20,1000,2387,1600,1060,3931,1011,1810,1269.357705
20,31230,200,721,147,0.44627107459233545,850,102,2604,4,80,20,52,20983,10941,110,2565,137,64,100,12,3402,2527,4629,1317,36934,967,1599,2045.82651391
20,32990,200,746,136,0.4684621686645264,863,66,2696,4,80,20,54,21016,10492,119,2294,136,64,100,12,3370,2532,4852,1341,37355,1004,1652,1231.37544637
20,43368,629,933,73,0.6091661091030747,933,10,3258,2,80,23,60,20738,8699,178,790,129,64,100,13,3227,2576,6229,1488,42057,1262,2033,1235.63573459
20,34934,336,772,121,0.47991948854722655,890,64,2785,4,80,20,56,21432,9706,122,1662,136,64,100,12,3293,2529,5085,1367,36508,1032,1693,1275.9984688
20,31058,200,714,148,0.43366257897815175,845,149,2583,5,80,20,51,21231,10690,104,2415,138,64,100,12,3380,2518,4582,1314,36158,949,1573,1193.17503878
20,38587,610,821,95,0.5178269397898664,935,10,2967,3,80,34,60,21800,8565,136,842,134,407,100,13,3192,2535,5544,1416,36179,1101,1790,1266.94539465
20,39357,753,832,87,0.5134483509764712,970,22,2997,4,80,46,60,22296,8082,134,274,134,862,100,13,3123,2526,5640,1425,34512,1106,1800,1280.24580719
20,29439,387,645,143,0.3672719541519398,923,354,2447,6,80,34,46,22988,9407,71,1393,141,1758,100,13,3212,2476,4309,1282,28295,843,1411,1268.39167935
20,33564,266,754,131,0.45951990619400007,877,101,2711,4,80,20,54,21459,10011,114,1819,137,64,100,12,3313,2522,4906,1348,36106,1001,1650,1281.88693757
20,28275,200,658,162,0.39375517986628433,842,238,2429,5,80,20,47,21470,11030,87,2708,140,144,100,12,3399,2504,4213,1273,34043,875,1462,1209.62864401
3360,14793,502,673,139,0.2709511628030231,941,438,1398,13,663,98,31,19333,10078,332,2709,149,2379,384,8,1779,2331,2967,1423,15830,672,1182,1209.04364648
3360,13287,491,691,144,0.22284912401936144,921,441,1283,13,663,99,31,19660,10457,348,2809,147,2374,382,9,1614,2368,3105,1484,13856,637,1299,1241.00273021
3360,14607,504,682,139,0.26369531371249477,948,438,1355,12,662,98,32,19285,9987,329,2731,149,2378,384,9,1758,2316,2998,1409,15386,662,1202,1265.18218623
