write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
223066.0,139860.0,4466.0,11436.0,1078.0,0.10512415427513377,8944.0,1372.0,262.0,12.0,11211.0,421.0,5.0,229428.0,129510.0,783.0,59908.0,148.0,54348.0,1841.0,5.0,6051.0,19666.0,19546.0,2218.0,168634.0,3305.0,11358.0,1265.02213789
104848.0,47728.0,12933.0,2027.0,450.0,0.18937514585175275,11942.0,7425.0,14237.0,12.0,8359.0,2104.0,27.0,19398.0,110483.0,12.0,55076.0,357.0,32954.0,3295.0,9.0,8016.0,5468.0,11791.0,1341.0,35112.0,5111.0,7216.0,1272.91242363
58652.0,3895.0,10803.0,10263.0,90.0,0.20029872286836192,4838.0,3939.0,8760.0,3.0,3728.0,718.0,8.0,133464.0,210637.0,621.0,71320.0,487.0,33994.0,15111.0,9.0,1273.0,18756.0,4410.0,2337.0,223466.0,1125.0,4276.0,1219.95852141
166297.0,45625.0,1341.0,8451.0,1415.0,0.7414077505625882,8191.0,14251.0,8771.0,6.0,13729.0,597.0,49.0,198941.0,201959.0,159.0,23828.0,1557.0,5910.0,19527.0,13.0,7044.0,11068.0,23912.0,3157.0,113255.0,4499.0,5711.0,1272.26463104
240715.0,228925.0,8469.0,5839.0,677.0,0.4522784188335742,2280.0,7449.0,9235.0,16.0,10398.0,1890.0,38.0,199297.0,246847.0,951.0,10714.0,591.0,8630.0,1381.0,25.0,5858.0,3616.0,24629.0,1086.0,130622.0,7160.0,13501.0,1252.50501002
211329.0,197099.0,11996.0,10162.0,1848.0,0.6805445788519154,8462.0,8128.0,10460.0,11.0,4122.0,3278.0,20.0,97430.0,224400.0,231.0,93338.0,1327.0,1048.0,8599.0,15.0,5095.0,12705.0,15259.0,1202.0,144071.0,6489.0,13695.0,1261.19308866
232258.0,168270.0,9716.0,8718.0,46.0,0.5845985787276093,10361.0,178.0,14132.0,23.0,10663.0,1722.0,12.0,189982.0,99778.0,68.0,14439.0,185.0,27025.0,15707.0,13.0,24023.0,20978.0,5372.0,2996.0,80635.0,5832.0,7369.0,1276.32418634
133622.0,208007.0,6787.0,11584.0,946.0,0.006603270675106021,9515.0,8588.0,9125.0,17.0,9321.0,2998.0,29.0,95317.0,80806.0,238.0,52296.0,1918.0,56447.0,16803.0,9.0,10065.0,23441.0,4037.0,1256.0,129655.0,7577.0,12392.0,1224.28991185
123158.0,196454.0,13433.0,596.0,1932.0,0.1799532186251096,4936.0,4644.0,9384.0,5.0,10087.0,1644.0,27.0,104127.0,141603.0,262.0,76674.0,449.0,24991.0,725.0,28.0,20388.0,15291.0,14201.0,1249.0,206547.0,6048.0,5027.0,1174.95006462
67585.0,51761.0,6415.0,2241.0,387.0,0.30254490603329054,9688.0,355.0,7372.0,9.0,1186.0,714.0,48.0,161282.0,190295.0,203.0,30177.0,375.0,42645.0,16487.0,22.0,10212.0,22468.0,7876.0,1743.0,58392.0,4054.0,11204.0,1224.14004162
237240.0,74535.0,2103.0,9222.0,990.0,0.688426594357746,4227.0,401.0,1263.0,11.0,8737.0,2540.0,46.0,236808.0,88976.0,14.0,13343.0,1449.0,57323.0,24859.0,15.0,11539.0,19143.0,2293.0,3075.0,114793.0,4060.0,9804.0,1218.62052157
241187.0,43810.0,10009.0,2835.0,1486.0,0.3727339996259612,12589.0,3542.0,9734.0,3.0,10885.0,1023.0,25.0,107548.0,147451.0,567.0,15922.0,1604.0,57502.0,24131.0,11.0,14164.0,10291.0,9049.0,2672.0,226391.0,7893.0,9607.0,1249.21923798
19123.0,126706.0,8733.0,5450.0,1174.0,0.9250141621681695,14709.0,2717.0,6020.0,17.0,7878.0,2199.0,5.0,102316.0,235755.0,201.0,44146.0,667.0,43102.0,18261.0,21.0,19529.0,11480.0,21811.0,2949.0,5793.0,255.0,1400.0,1215.21448536
40077.0,248033.0,11842.0,5251.0,1710.0,0.6983890678824556,10686.0,6689.0,5244.0,26.0,11973.0,2625.0,16.0,172436.0,200352.0,87.0,59523.0,1166.0,46891.0,18600.0,9.0,6847.0,17256.0,19237.0,2296.0,3600.0,1437.0,3855.0,1223.690651
50913.0,17228.0,1547.0,3959.0,452.0,0.14140131043995186,6210.0,10485.0,7585.0,22.0,9417.0,2274.0,46.0,128870.0,9740.0,981.0,49931.0,1156.0,16519.0,22238.0,17.0,12617.0,6128.0,18185.0,3480.0,88867.0,3460.0,243.0,1258.81168177
102874.0,232842.0,5276.0,5182.0,1632.0,0.17226719718752048,12274.0,11549.0,6130.0,24.0,2167.0,2611.0,16.0,149026.0,186094.0,232.0,59405.0,1395.0,12626.0,11688.0,6.0,7050.0,22482.0,19202.0,2218.0,58948.0,7747.0,1460.0,1263.42387871
